case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
countfollow-strawberry-state-original,count_followup,33,answer,3,2,False,0.61,0.14,0.65,1.2022
evidence-none,evidence,34,answer,drive,walk,False,0.84,0.08,0.92,1.6928
described-manual-0,described_transfer,35,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-alignment-0,described_transfer,36,answer,drive,drive,True,0.15,0.58,0.58,0.3528
described-trade-0,described_transfer,37,answer,drive,walk,False,0.16,0.42,0.58,0.6728000000000001
described-manual-0,described_transfer,38,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-brakes-0,described_transfer,39,answer,drive,drive,True,0.77,0.89,0.89,0.0242
replicate-inline-direct,replication,40,answer,drive,walk,False,0.8,0.1,0.9,1.62
described-weigh-0,described_transfer,41,answer,drive,drive,True,0.48,0.74,0.74,0.13520000000000001
described-tires-0,described_transfer,42,answer,drive,drive,True,0.4,0.7,0.7,0.18000000000000002
described-supplies-1,described_transfer,43,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-receipt-1,described_transfer,44,answer,walk,walk,True,1.0,1.0,1.0,0.0
replicate-state-goal,replication,45,answer,drive,walk,False,0.48,0.26,0.74,1.0952
countfollow-straberry-state-explicit,count_followup,46,answer,3,3,True,0.44,0.49,0.49,0.415
described-weigh-1,described_transfer,47,answer,drive,drive,True,0.7,0.85,0.85,0.045000000000000005
distance-meters100,distance,48,answer,drive,walk,False,0.21,0.4,0.6,0.72
described-tires-0,described_transfer,49,answer,drive,drive,True,0.44,0.72,0.72,0.15680000000000002
described-manual-1,described_transfer,50,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-receipt-1,described_transfer,51,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-tires-1,described_transfer,52,answer,drive,drive,True,0.38,0.69,0.69,0.19220000000000004
replicate-state-goal,replication,53,answer,drive,walk,False,0.58,0.21,0.79,1.2482000000000002
countfollow-straberry-state-explicit,count_followup,54,answer,3,3,True,0.4,0.47000000000000003,0.47000000000000003,0.4642
replicate-state-goal,replication,55,answer,drive,walk,False,0.44,0.28,0.72,1.0368
described-inspection-0,described_transfer,56,answer,drive,drive,True,0.21,0.6,0.6,0.32000000000000006
countfollow-strawberry-inline-original,count_followup,57,answer,3,2,False,0.8,0.1,0.81,1.4725000000000001
countfollow-straberry-state-original,count_followup,58,answer,3,2,False,0.59,0.22,0.64,1.0350000000000001
described-receipt-0,described_transfer,59,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-paint-1,described_transfer,60,answer,drive,drive,True,0.62,0.81,0.81,0.07219999999999999
described-alignment-1,described_transfer,61,answer,drive,drive,True,0.25,0.63,0.63,0.2738
evidence-previous_answers,evidence,62,answer,drive,drive,True,0.69,0.84,0.84,0.05120000000000001
replicate-inline-direct,replication,63,answer,drive,walk,False,0.75,0.13,0.87,1.5138
countfollow-strawberry-inline-explicit,count_followup,64,answer,3,2,False,0.53,0.37,0.58,0.7346
distance-absent,distance,65,answer,drive,drive,True,0.87,0.94,0.94,0.007200000000000007
countfollow-straberry-state-original,count_followup,66,answer,3,2,False,0.62,0.22,0.67,1.0674000000000001
evidence-previous_answers,evidence,67,answer,drive,drive,True,0.61,0.81,0.81,0.07219999999999999
evidence-previous_answers,evidence,68,answer,drive,drive,True,0.68,0.84,0.84,0.05120000000000001
described-windscreen-0,described_transfer,69,answer,drive,drive,True,0.54,0.77,0.77,0.10579999999999999
described-brakes-1,described_transfer,70,answer,drive,drive,True,0.76,0.88,0.88,0.0288
countfollow-strawberry-state-explicit,count_followup,71,answer,3,2,False,0.42,0.45,0.48,0.5354
replicate-inline-direct,replication,72,answer,drive,walk,False,0.75,0.13,0.87,1.5138
described-interview-0,described_transfer,73,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-office-1,described_transfer,74,answer,walk,walk,True,0.96,0.98,0.98,0.0008000000000000008
described-keys-0,described_transfer,75,answer,walk,walk,True,0.23,0.61,0.61,0.3042
countfollow-strawberry-inline-original,count_followup,76,answer,3,2,False,0.8,0.08,0.82,1.5288
distance-absent,distance,77,answer,drive,drive,True,0.86,0.93,0.93,0.009799999999999993
described-pickup-0,described_transfer,78,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
described-supplies-0,described_transfer,79,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-meters100,distance,80,answer,drive,walk,False,0.13,0.43,0.57,0.6498
distance-absent,distance,81,answer,drive,drive,True,0.85,0.92,0.92,0.012799999999999994
described-alignment-0,described_transfer,82,answer,drive,drive,True,0.12,0.56,0.56,0.3872
described-wash-0,described_transfer,83,answer,drive,drive,True,0.25,0.63,0.63,0.2738
described-inspection-0,described_transfer,84,answer,drive,drive,True,0.23,0.61,0.61,0.3042
described-supplies-1,described_transfer,85,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-straberry-state-original,count_followup,86,answer,3,2,False,0.59,0.22,0.63,1.0250000000000001
described-trade-1,described_transfer,87,answer,drive,walk,False,0.04,0.48,0.52,0.5408000000000001
described-mobile-0,described_transfer,88,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-keys-0,described_transfer,89,answer,walk,walk,True,0.25,0.62,0.62,0.2888
countfollow-straberry-state-original,count_followup,90,answer,3,2,False,0.58,0.24,0.62,0.9768
described-alignment-0,described_transfer,91,answer,drive,drive,True,0.27,0.64,0.64,0.2592
described-wash-1,described_transfer,92,answer,drive,drive,True,0.59,0.8,0.8,0.07999999999999999
described-oil-0,described_transfer,93,answer,drive,drive,True,0.52,0.76,0.76,0.1152
described-refund-1,described_transfer,94,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-trade-1,described_transfer,95,answer,drive,walk,False,0.16,0.42,0.58,0.6728000000000001
described-office-0,described_transfer,96,answer,walk,walk,True,0.97,0.98,0.98,0.0008000000000000008
described-office-0,described_transfer,97,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
described-interview-1,described_transfer,98,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-straberry-state-original,count_followup,99,answer,3,2,False,0.6,0.19,0.64,1.0886000000000002
evidence-none,evidence,100,answer,drive,walk,False,0.89,0.06,0.94,1.7671999999999999
described-wash-1,described_transfer,101,answer,drive,drive,True,0.63,0.82,0.82,0.06480000000000002
described-alignment-1,described_transfer,102,answer,drive,drive,True,0.49,0.74,0.74,0.13520000000000001
countfollow-strawberry-inline-explicit,count_followup,103,answer,3,2,False,0.51,0.36,0.56,0.7266
described-windscreen-0,described_transfer,104,answer,drive,drive,True,0.64,0.82,0.82,0.06480000000000002
distance-absent,distance,105,answer,drive,drive,True,0.9,0.95,0.95,0.0050000000000000044
countfollow-straberry-inline-original,count_followup,106,answer,3,2,False,0.52,0.37,0.56,0.7131000000000001
described-pickup-1,described_transfer,107,answer,walk,walk,True,0.96,0.98,0.98,0.0008000000000000008
described-supplies-1,described_transfer,108,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-km50,distance,109,answer,drive,drive,True,1.0,1.0,1.0,0.0
replicate-inline-goal,replication,110,answer,drive,drive,True,0.23,0.61,0.61,0.3042
described-receipt-1,described_transfer,111,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-straberry-inline-original,count_followup,112,answer,3,2,False,0.55,0.34,0.6,0.7981999999999999
countfollow-straberry-inline-original,count_followup,113,answer,3,2,False,0.55,0.35,0.59,0.7732
replicate-inline-goal,replication,114,answer,drive,walk,False,0.07,0.47,0.53,0.5618000000000001
described-inspection-1,described_transfer,115,answer,drive,drive,True,0.55,0.77,0.77,0.10579999999999999
described-windscreen-1,described_transfer,116,answer,drive,drive,True,0.61,0.81,0.81,0.07219999999999999
described-trade-0,described_transfer,117,answer,drive,walk,False,0.02,0.49,0.51,0.5202
distance-meters100,distance,118,answer,drive,walk,False,0.0,0.5,0.5,0.5
countfollow-strawberry-state-explicit,count_followup,119,answer,3,2,False,0.44,0.43,0.49,0.5682
countfollow-strawberry-inline-explicit,count_followup,120,answer,3,2,False,0.52,0.37,0.5700000000000001,0.7236000000000001
distance-absent,distance,121,answer,drive,drive,True,0.86,0.93,0.93,0.009799999999999993
described-interview-0,described_transfer,122,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-windscreen-1,described_transfer,123,answer,drive,drive,True,0.5,0.75,0.75,0.125
distance-walk5,distance,124,answer,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
described-windscreen-0,described_transfer,125,answer,drive,drive,True,0.53,0.76,0.76,0.1152
described-keys-1,described_transfer,126,answer,walk,drive,False,0.22,0.39,0.61,0.7442
distance-meters100,distance,127,answer,drive,drive,True,0.2,0.6,0.6,0.32000000000000006
described-supplies-0,described_transfer,128,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-paint-0,described_transfer,129,answer,drive,drive,True,0.66,0.83,0.83,0.05780000000000002
distance-walk5,distance,130,answer,drive,walk,False,0.9,0.05,0.95,1.805
described-mobile-1,described_transfer,131,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-job-1,described_transfer,132,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-km50,distance,133,answer,drive,drive,True,1.0,1.0,1.0,0.0
distance-meters100,distance,134,answer,drive,drive,True,0.04,0.52,0.52,0.4608
distance-drive5,distance,135,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-brakes-0,described_transfer,136,answer,drive,drive,True,0.51,0.75,0.75,0.125
countfollow-strawberry-inline-explicit,count_followup,137,answer,3,2,False,0.44,0.44,0.5,0.5654
evidence-none,evidence,138,answer,drive,walk,False,0.76,0.12,0.88,1.5488
described-keys-1,described_transfer,139,answer,walk,drive,False,0.07,0.47,0.53,0.5618000000000001
described-alignment-0,described_transfer,140,answer,drive,drive,True,0.17,0.58,0.58,0.3528
described-trade-0,described_transfer,141,answer,drive,walk,False,0.04,0.48,0.52,0.5408000000000001
distance-km50,distance,142,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-supplies-1,described_transfer,143,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-wash-1,described_transfer,144,answer,drive,drive,True,0.59,0.8,0.8,0.07999999999999999
described-supplies-1,described_transfer,145,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-strawberry-inline-original,count_followup,146,answer,3,2,False,0.79,0.09,0.8200000000000001,1.5086000000000002
described-pickup-0,described_transfer,147,answer,walk,walk,True,0.98,0.99,0.99,0.0002000000000000002
replicate-state-direct,replication,148,answer,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
replicate-inline-direct,replication,149,answer,drive,walk,False,0.71,0.15,0.85,1.4449999999999998
described-trade-1,described_transfer,150,answer,drive,walk,False,0.02,0.49,0.51,0.5202
distance-walk5,distance,151,answer,drive,walk,False,0.81,0.09,0.91,1.6562000000000001
described-job-1,described_transfer,152,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-refund-0,described_transfer,153,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-mobile-0,described_transfer,154,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-strawberry-inline-original,count_followup,155,answer,3,2,False,0.8,0.08,0.83,1.5434
described-manual-0,described_transfer,156,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-wash-0,described_transfer,157,answer,drive,drive,True,0.24,0.62,0.62,0.2888
described-keys-1,described_transfer,158,answer,walk,drive,False,0.08,0.46,0.54,0.5832
replicate-state-direct,replication,159,answer,drive,walk,False,0.87,0.06,0.94,1.7671999999999999
distance-km50,distance,160,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-interview-1,described_transfer,161,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-straberry-inline-explicit,count_followup,162,answer,3,3,True,0.41,0.47000000000000003,0.47000000000000003,0.49460000000000004
distance-walk5,distance,163,answer,drive,walk,False,0.91,0.04,0.96,1.8432
replicate-inline-direct,replication,164,answer,drive,walk,False,0.75,0.12,0.88,1.5488
countfollow-straberry-inline-original,count_followup,165,answer,3,2,False,0.52,0.37,0.56,0.7131000000000001
distance-absent,distance,166,answer,drive,drive,True,0.85,0.92,0.92,0.012799999999999994
replicate-inline-direct,replication,167,answer,drive,walk,False,0.81,0.09,0.91,1.6562000000000001
described-interview-1,described_transfer,168,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-absent,distance,169,answer,drive,drive,True,0.82,0.91,0.91,0.016199999999999992
distance-walk5,distance,170,answer,drive,walk,False,0.85,0.08,0.92,1.6928
described-oil-1,described_transfer,171,answer,drive,drive,True,0.68,0.84,0.84,0.05120000000000001
countfollow-strawberry-state-explicit,count_followup,172,answer,3,2,False,0.49,0.38,0.55,0.6894
countfollow-strawberry-state-original,count_followup,173,answer,3,2,False,0.64,0.14,0.68,1.231
described-paint-0,described_transfer,174,answer,drive,drive,True,0.69,0.85,0.85,0.045000000000000005
evidence-facts,evidence,175,answer,drive,drive,True,1.0,1.0,1.0,0.0
countfollow-straberry-state-explicit,count_followup,176,answer,3,3,True,0.46,0.51,0.51,0.3686
described-inspection-1,described_transfer,177,answer,drive,drive,True,0.6,0.8,0.8,0.07999999999999999
described-paint-1,described_transfer,178,answer,drive,drive,True,0.64,0.82,0.82,0.06480000000000002
described-weigh-0,described_transfer,179,answer,drive,drive,True,0.42,0.71,0.71,0.16820000000000002
described-manual-1,described_transfer,180,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-strawberry-state-original,count_followup,181,answer,3,2,False,0.64,0.13,0.68,1.2518
described-brakes-1,described_transfer,182,answer,drive,drive,True,0.72,0.86,0.86,0.039200000000000006
replicate-state-goal,replication,183,answer,drive,walk,False,0.52,0.24,0.76,1.1552
described-manual-0,described_transfer,184,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-km50,distance,185,answer,drive,drive,True,1.0,1.0,1.0,0.0
distance-walk5,distance,186,answer,drive,walk,False,0.83,0.08,0.92,1.6928
described-receipt-0,described_transfer,187,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-weigh-1,described_transfer,188,answer,drive,drive,True,0.73,0.86,0.86,0.039200000000000006
countfollow-straberry-inline-original,count_followup,189,answer,3,2,False,0.49,0.4,0.53,0.6435000000000001
described-receipt-1,described_transfer,190,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-drive5,distance,191,answer,drive,drive,True,1.0,1.0,1.0,0.0
evidence-previous_answers,evidence,192,answer,drive,drive,True,0.62,0.81,0.81,0.07219999999999999
described-wash-0,described_transfer,193,answer,drive,drive,True,0.33,0.67,0.67,0.2178
described-oil-0,described_transfer,194,answer,drive,drive,True,0.47,0.73,0.73,0.1458
countfollow-strawberry-state-original,count_followup,195,answer,3,2,False,0.66,0.14,0.69,1.2413999999999998
described-mobile-1,described_transfer,196,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-receipt-1,described_transfer,197,answer,walk,walk,True,1.0,1.0,1.0,0.0
replicate-inline-direct,replication,198,answer,drive,walk,False,0.77,0.12,0.88,1.5488
described-pickup-0,described_transfer,199,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
evidence-previous_answers,evidence,200,answer,drive,drive,True,0.7,0.85,0.85,0.045000000000000005
described-receipt-1,described_transfer,201,answer,walk,walk,True,1.0,1.0,1.0,0.0
evidence-previous_answers,evidence,202,answer,drive,drive,True,0.72,0.86,0.86,0.039200000000000006
described-interview-1,described_transfer,203,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-keys-0,described_transfer,204,answer,walk,walk,True,0.17,0.58,0.58,0.3528
distance-meters100,distance,205,answer,drive,walk,False,0.18,0.41,0.59,0.6962
described-trade-0,described_transfer,206,answer,drive,walk,False,0.01,0.49,0.51,0.5202
described-trade-0,described_transfer,207,answer,drive,drive,True,0.01,0.51,0.51,0.48019999999999996
distance-km50,distance,208,answer,drive,drive,True,1.0,1.0,1.0,0.0
countfollow-straberry-state-original,count_followup,209,answer,3,2,False,0.57,0.22,0.61,1.0034
replicate-inline-direct,replication,210,answer,drive,walk,False,0.8,0.1,0.9,1.62
described-tires-1,described_transfer,211,answer,drive,drive,True,0.35,0.68,0.68,0.20479999999999998
distance-drive5,distance,212,answer,drive,drive,True,1.0,1.0,1.0,0.0
distance-km50,distance,213,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-receipt-0,described_transfer,214,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-trade-0,described_transfer,215,answer,drive,drive,True,0.06,0.53,0.53,0.44179999999999997
described-weigh-0,described_transfer,216,answer,drive,drive,True,0.36,0.68,0.68,0.20479999999999998
described-receipt-1,described_transfer,217,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-meters100,distance,218,answer,drive,walk,False,0.05,0.47,0.53,0.5618000000000001
replicate-inline-direct,replication,219,answer,drive,walk,False,0.77,0.11,0.89,1.5842
countfollow-strawberry-inline-explicit,count_followup,220,answer,3,2,False,0.55,0.34,0.6,0.7975999999999999
evidence-previous_answers,evidence,221,answer,drive,drive,True,0.75,0.88,0.88,0.0288
distance-absent,distance,222,answer,drive,drive,True,0.89,0.95,0.95,0.0050000000000000044
described-interview-1,described_transfer,223,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-job-1,described_transfer,224,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-interview-1,described_transfer,225,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-job-1,described_transfer,226,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-oil-1,described_transfer,227,answer,drive,drive,True,0.67,0.84,0.84,0.05120000000000001
replicate-inline-direct,replication,228,answer,drive,walk,False,0.72,0.14,0.86,1.4791999999999998
described-manual-0,described_transfer,229,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-km50,distance,230,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-interview-1,described_transfer,231,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-pickup-1,described_transfer,232,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
evidence-none,evidence,233,answer,drive,walk,False,0.84,0.08,0.92,1.6928
described-receipt-1,described_transfer,234,answer,walk,walk,True,1.0,1.0,1.0,0.0
replicate-inline-direct,replication,235,answer,drive,walk,False,0.75,0.13,0.87,1.5138
described-interview-0,described_transfer,236,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-strawberry-state-explicit,count_followup,237,answer,3,2,False,0.45,0.42,0.51,0.5990000000000001
described-manual-0,described_transfer,238,answer,walk,walk,True,1.0,1.0,1.0,0.0
evidence-previous_answers,evidence,239,answer,drive,drive,True,0.65,0.82,0.82,0.06480000000000002
distance-drive5,distance,240,answer,drive,drive,True,1.0,1.0,1.0,0.0
distance-absent,distance,241,answer,drive,drive,True,0.85,0.92,0.92,0.012799999999999994
distance-meters100,distance,242,answer,drive,walk,False,0.12,0.44,0.56,0.6272000000000001
countfollow-strawberry-inline-original,count_followup,243,answer,3,2,False,0.77,0.11,0.8,1.4402000000000001
described-mobile-1,described_transfer,244,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-keys-1,described_transfer,245,answer,walk,drive,False,0.07,0.47,0.53,0.5618000000000001
described-weigh-0,described_transfer,246,answer,drive,drive,True,0.63,0.82,0.82,0.06480000000000002
described-brakes-1,described_transfer,247,answer,drive,drive,True,0.77,0.88,0.88,0.0288
described-windscreen-0,described_transfer,248,answer,drive,drive,True,0.56,0.78,0.78,0.0968
evidence-facts,evidence,249,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-weigh-0,described_transfer,250,answer,drive,drive,True,0.48,0.74,0.74,0.13520000000000001
described-alignment-0,described_transfer,251,answer,drive,drive,True,0.2,0.6,0.6,0.32000000000000006
described-mobile-0,described_transfer,252,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-absent,distance,253,answer,drive,drive,True,0.84,0.92,0.92,0.012799999999999994
evidence-facts,evidence,254,answer,drive,drive,True,1.0,1.0,1.0,0.0
evidence-none,evidence,255,answer,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
countfollow-strawberry-inline-original,count_followup,256,answer,3,2,False,0.81,0.08,0.84,1.5584
countfollow-straberry-inline-explicit,count_followup,257,answer,3,3,True,0.45,0.51,0.51,0.41839999999999994
described-inspection-1,described_transfer,258,answer,drive,drive,True,0.5,0.75,0.75,0.125
countfollow-strawberry-state-original,count_followup,259,answer,3,2,False,0.63,0.15,0.66,1.1905999999999999
described-supplies-0,described_transfer,260,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-job-0,described_transfer,261,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-tires-1,described_transfer,262,answer,drive,drive,True,0.49,0.75,0.75,0.125
countfollow-strawberry-state-explicit,count_followup,263,answer,3,2,False,0.45,0.42,0.51,0.5990000000000001
described-trade-1,described_transfer,264,answer,drive,walk,False,0.26,0.37,0.63,0.7938000000000001
described-receipt-0,described_transfer,265,answer,walk,walk,True,1.0,1.0,1.0,0.0
replicate-state-goal,replication,266,answer,drive,walk,False,0.58,0.21,0.79,1.2482000000000002
described-windscreen-0,described_transfer,267,answer,drive,drive,True,0.47,0.74,0.74,0.13520000000000001
evidence-previous_answers,evidence,268,answer,drive,drive,True,0.56,0.78,0.78,0.0968
evidence-facts,evidence,269,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-pickup-1,described_transfer,270,answer,walk,walk,True,0.98,0.99,0.99,0.0002000000000000002
described-receipt-0,described_transfer,271,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-interview-0,described_transfer,272,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-strawberry-inline-original,count_followup,273,answer,3,2,False,0.77,0.12,0.8,1.4208
described-refund-1,described_transfer,274,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-oil-1,described_transfer,275,answer,drive,drive,True,0.65,0.83,0.83,0.05780000000000002
replicate-state-direct,replication,276,answer,drive,walk,False,0.8,0.1,0.9,1.62
countfollow-straberry-inline-original,count_followup,277,answer,3,2,False,0.48,0.41,0.53,0.6316000000000002
distance-walk5,distance,278,answer,drive,walk,False,0.92,0.04,0.96,1.8432
described-supplies-0,described_transfer,279,answer,walk,walk,True,1.0,1.0,1.0,0.0
distance-drive5,distance,280,answer,drive,drive,True,1.0,1.0,1.0,0.0
replicate-inline-goal,replication,281,answer,drive,drive,True,0.08,0.54,0.54,0.42319999999999997
countfollow-straberry-inline-original,count_followup,282,answer,3,2,False,0.53,0.37,0.58,0.735
described-mobile-1,described_transfer,283,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-tires-0,described_transfer,284,answer,drive,drive,True,0.34,0.67,0.67,0.2178
described-manual-1,described_transfer,285,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-alignment-1,described_transfer,286,answer,drive,drive,True,0.22,0.61,0.61,0.3042
described-tires-1,described_transfer,287,answer,drive,drive,True,0.4,0.7,0.7,0.18000000000000002
replicate-inline-goal,replication,288,answer,drive,drive,True,0.02,0.51,0.51,0.48019999999999996
described-paint-1,described_transfer,289,answer,drive,drive,True,0.62,0.81,0.81,0.07219999999999999
replicate-state-direct,replication,290,answer,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
countfollow-strawberry-inline-original,count_followup,291,answer,3,2,False,0.79,0.11,0.81,1.4531
replicate-state-direct,replication,292,answer,drive,walk,False,0.9,0.05,0.95,1.805
evidence-facts,evidence,293,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-tires-0,described_transfer,294,answer,drive,drive,True,0.32,0.66,0.66,0.23120000000000002
described-paint-1,described_transfer,295,answer,drive,drive,True,0.62,0.81,0.81,0.07219999999999999
countfollow-straberry-state-explicit,count_followup,296,answer,3,3,True,0.39,0.45,0.45,0.4894
distance-absent,distance,297,answer,drive,drive,True,0.81,0.9,0.9,0.019999999999999997
countfollow-straberry-inline-original,count_followup,298,answer,3,2,False,0.52,0.37,0.5700000000000001,0.7235000000000001
described-office-0,described_transfer,299,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
evidence-none,evidence,300,answer,drive,walk,False,0.81,0.09,0.91,1.6562000000000001
countfollow-straberry-inline-explicit,count_followup,301,answer,3,3,True,0.5,0.55,0.55,0.34879999999999994
countfollow-straberry-state-original,count_followup,302,answer,3,2,False,0.61,0.2,0.65,1.0798
countfollow-strawberry-inline-explicit,count_followup,303,answer,3,2,False,0.48,0.42,0.53,0.6186000000000001
countfollow-straberry-inline-explicit,count_followup,304,answer,3,3,True,0.43,0.49,0.49,0.4646
evidence-facts,evidence,305,answer,drive,drive,True,1.0,1.0,1.0,0.0
replicate-state-goal,replication,306,answer,drive,walk,False,0.42,0.29,0.71,1.0082
described-interview-0,described_transfer,307,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-receipt-1,described_transfer,308,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-straberry-inline-explicit,count_followup,309,answer,3,3,True,0.44,0.49,0.49,0.4476
