action,argmax_correct,choice,choice_is_argmax,confidence,correct,id,input_tokens,kind,latency_ms,output_tokens,regret,safe,split,state_id,valid,variant
straight,True,north,True,0.26,True,holdout-011-absolute,502,ablation,266.85,38,0,True,holdout,holdout-011,True,absolute
straight,True,straight,True,0.5,True,development-028-original,617,ablation,277.78,38,0,True,development,development-028,True,original
,True,no,True,0.71,True,development-006-progress-right,476,atomic,295.07,31,,,development,development-006,True,progress
straight,True,straight,True,0.29,True,holdout-005-local,600,ablation,321.37,38,0,True,holdout,holdout-005,True,local
straight,True,south,True,0.53,True,holdout-029-absolute,499,ablation,331.45,38,0,True,holdout,holdout-029,True,absolute
left,True,left,True,0.16,True,development-011-order-5-0,594,order,306.74,38,0,True,development,development-011,True,original
straight,True,straight,True,0.21,True,development-051-compact,487,ablation,314.17,38,0,True,development,development-051,True,compact
straight,True,straight,True,0.93,True,holdout-009-exact,593,ablation,338.93,38,0,True,holdout,holdout-009,True,exact
straight,False,straight,True,0.32,False,holdout-039-compact,481,ablation,348.24,38,2,True,holdout,holdout-039,True,compact
straight,True,straight,True,0.56,True,development-033-local,616,ablation,323.74,38,0,True,development,development-033,True,local
right,True,right,True,0.67,True,development-029-exact,580,ablation,365.4,38,0,True,development,development-029,True,exact
straight,False,straight,True,0.14,False,development-010-original,598,ablation,323.79,38,2,True,development,development-010,True,original
right,True,right,True,0.72,True,development-026-exact,586,ablation,357.39,38,0,True,development,development-026,True,exact
right,True,right,True,0.64,True,holdout-040-local,592,ablation,308.93,38,0,True,holdout,holdout-040,True,local
straight,False,straight,True,0.36,False,development-009-order-3-1,586,order,299.62,38,2,True,development,development-009,True,original
straight,False,straight,True,0.28,False,development-045-compact,494,ablation,289.91,38,2,True,development,development-045,True,compact
straight,True,straight,True,0.45,True,development-026-original,611,ablation,326.77,38,0,True,development,development-026,True,original
straight,False,straight,True,0.16,False,development-007-order-0-1,615,order,365.43,38,2,True,development,development-007,True,original
,True,yes,True,0.67,True,development-024-safe-right,474,atomic,316.02,31,,,development,development-024,True,safe
straight,True,straight,True,0.39,True,development-008-order-5-1,586,order,308.27,38,0,True,development,development-008,True,original
straight,False,straight,True,0.25,False,development-007-order-0-0,615,order,287.74,38,2,True,development,development-007,True,original
straight,False,straight,True,0.62,False,development-018-compact,504,ablation,272.0,38,2,True,development,development-018,True,compact
straight,True,straight,True,1.0,True,development-016-exact,592,ablation,352.89,38,0,True,development,development-016,True,exact
,True,no,True,0.31,True,development-024-progress-right,486,atomic,297.28,31,,,development,development-024,True,progress
,True,yes,True,0.89,True,development-028-safe-right,473,atomic,282.91,31,,,development,development-028,True,safe
straight,True,east,True,0.62,True,development-021-absolute,512,ablation,286.05,38,0,True,development,development-021,True,absolute
left,True,left,True,1.0,True,development-011-exact,568,ablation,311.05,38,0,True,development,development-011,True,exact
straight,False,straight,True,0.14,False,development-007-order-4-0,615,order,346.98,38,2,True,development,development-007,True,original
,False,yes,True,0.87,False,development-027-progress-straight,479,atomic,312.17,31,,,development,development-027,True,progress
,True,yes,True,0.95,True,development-025-safe-straight,450,atomic,335.91,31,,,development,development-025,True,safe
,True,yes,True,0.77,True,development-004-safe-right,452,atomic,384.63,31,,,development,development-004,True,safe
right,False,right,True,0.09,False,development-049-local,609,ablation,324.0,38,4,True,development,development-049,True,local
straight,False,straight,True,0.45,False,development-015-compact,520,ablation,331.77,38,2,True,development,development-015,True,compact
,True,no,True,0.12,True,development-026-progress-left,479,atomic,293.49,31,,,development,development-026,True,progress
straight,True,straight,True,0.98,True,holdout-015-local,623,ablation,275.64,38,0,True,holdout,holdout-015,True,local
straight,True,straight,True,0.81,True,holdout-002-local,600,ablation,278.71,38,0,True,holdout,holdout-002,True,local
straight,False,north,True,0.49,False,development-043-absolute,481,ablation,280.36,38,2,True,development,development-043,True,absolute
straight,True,straight,True,0.51,True,holdout-005-original,601,ablation,342.53,38,0,True,holdout,holdout-005,True,original
straight,True,straight,True,0.44,True,development-006-order-1-1,609,order,392.03,38,0,True,development,development-006,True,original
,True,no,True,0.06,True,development-009-progress-straight,455,atomic,327.65,31,,,development,development-009,True,progress
right,True,right,True,0.3,True,development-023-local,603,ablation,424.39,38,0,True,development,development-023,True,local
right,True,right,True,0.13,True,holdout-057-compact,480,ablation,309.39,38,0,True,holdout,holdout-057,True,compact
left,True,left,True,0.74,True,development-041-local,586,ablation,282.4,38,0,True,development,development-041,True,local
,True,yes,True,0.91,True,development-024-safe-straight,474,atomic,330.93,31,,,development,development-024,True,safe
straight,True,straight,True,0.66,True,holdout-029-local,604,ablation,324.01,38,0,True,holdout,holdout-029,True,local
straight,True,straight,True,0.44,True,holdout-014-original,600,ablation,281.71,38,0,True,holdout,holdout-014,True,original
straight,True,straight,True,0.99,True,holdout-002-exact,579,ablation,311.19,38,0,True,holdout,holdout-002,True,exact
left,True,left,True,0.27,True,development-009-order-4-0,586,order,334.25,38,0,True,development,development-009,True,original
,True,yes,True,0.04,True,development-003-progress-left,486,atomic,310.85,31,,,development,development-003,True,progress
straight,False,straight,True,0.14,False,development-010-order-2-1,598,order,276.17,38,2,True,development,development-010,True,original
straight,True,straight,True,0.86,True,development-025-exact,572,ablation,346.36,38,0,True,development,development-025,True,exact
,True,yes,True,0.59,True,development-003-safe-left,474,atomic,337.12,31,,,development,development-003,True,safe
right,False,right,True,0.22,True,holdout-022-compact,505,ablation,320.03,38,0,True,holdout,holdout-022,True,compact
,True,yes,True,0.52,True,development-016-safe-right,471,atomic,320.4,31,,,development,development-016,True,safe
left,True,left,True,0.15,True,holdout-056-original,592,ablation,304.74,38,0,True,holdout,holdout-056,True,original
,True,no,True,0.76,True,development-006-safe-right,464,atomic,306.87,31,,,development,development-006,True,safe
straight,False,straight,True,0.05,False,development-011-order-2-0,594,order,431.53,38,2,True,development,development-011,True,original
straight,False,straight,True,0.42,False,holdout-042-original,588,ablation,305.17,38,2,True,holdout,holdout-042,True,original
,True,yes,True,0.91,True,development-008-safe-right,443,atomic,299.64,31,,,development,development-008,True,safe
straight,True,south,True,0.68,True,holdout-027-absolute,504,ablation,354.26,38,0,True,holdout,holdout-027,True,absolute
straight,True,straight,True,0.42,True,development-028-compact,510,ablation,354.98,38,0,True,development,development-028,True,compact
right,True,right,True,1.0,True,development-010-exact,576,ablation,363.9,38,0,True,development,development-010,True,exact
straight,True,straight,True,0.48,True,development-002-local,603,ablation,388.57,38,0,True,development,development-002,True,local
straight,True,straight,True,0.38,True,development-008-order-3-1,586,order,305.35,38,0,True,development,development-008,True,original
right,True,right,True,0.39,True,holdout-052-compact,494,ablation,298.68,38,0,True,holdout,holdout-052,True,compact
straight,True,straight,True,0.28,True,development-000-order-1-1,625,order,313.11,38,0,True,development,development-000,True,original
left,True,left,True,0.39,True,development-042-local,586,ablation,342.6,38,0,True,development,development-042,True,local
left,True,west,True,0.36,True,holdout-053-absolute,480,ablation,351.44,38,0,True,holdout,holdout-053,True,absolute
straight,True,straight,True,0.71,True,development-019-compact,492,ablation,318.21,38,0,True,development,development-019,True,compact
,True,yes,True,0.77,True,development-013-safe-right,474,atomic,354.96,31,,,development,development-013,True,safe
right,True,west,True,0.48,True,holdout-016-absolute,523,ablation,294.0,38,0,True,holdout,holdout-016,True,absolute
,True,no,True,0.42,True,development-002-progress-right,473,atomic,285.15,31,,,development,development-002,True,progress
straight,True,straight,True,0.63,True,development-004-order-1-0,597,order,308.3,38,0,True,development,development-004,True,original
straight,True,straight,True,0.2,True,development-000-order-4-1,625,order,294.8,38,0,True,development,development-000,True,original
,True,no,True,0.11,True,development-017-progress-straight,461,atomic,314.62,31,,,development,development-017,True,progress
straight,False,straight,True,0.04,False,development-005-order-2-1,606,order,308.53,38,2,True,development,development-005,True,original
left,True,left,True,0.27,True,holdout-050-original,594,ablation,291.09,38,0,True,holdout,holdout-050,True,original
left,True,north,True,0.28,True,holdout-037-absolute,485,ablation,283.14,38,0,True,holdout,holdout-037,True,absolute
left,True,left,True,0.36,True,development-003-original,619,ablation,330.19,38,0,True,development,development-003,True,original
left,True,left,True,1.0,True,development-045-exact,580,ablation,317.73,38,0,True,development,development-045,True,exact
,True,no,True,0.27,True,development-005-progress-left,473,atomic,311.19,31,,,development,development-005,True,progress
straight,False,straight,True,0.25,False,development-014-compact,501,ablation,333.86,38,2,True,development,development-014,True,compact
straight,True,straight,True,0.74,True,holdout-029-compact,499,ablation,322.26,38,0,True,holdout,holdout-029,True,compact
straight,True,straight,True,0.76,True,holdout-031-compact,486,ablation,347.03,38,0,True,holdout,holdout-031,True,compact
right,True,south,True,0.31,True,development-032-absolute,504,ablation,275.75,38,0,True,development,development-032,True,absolute
right,True,west,True,0.72,True,holdout-052-absolute,494,ablation,370.31,38,0,True,holdout,holdout-052,True,absolute
straight,False,straight,True,0.24,False,holdout-057-original,586,ablation,294.67,38,2,True,holdout,holdout-057,True,original
straight,False,straight,True,0.25,False,development-047-local,595,ablation,312.68,38,2,True,development,development-047,True,local
straight,False,straight,True,0.26,False,development-003-order-5-0,619,order,322.24,38,2,True,development,development-003,True,original
,True,yes,True,0.42,True,development-000-progress-left,492,atomic,338.69,31,,,development,development-000,True,progress
right,True,east,True,0.29,True,holdout-026-absolute,517,ablation,518.03,38,0,True,holdout,holdout-026,True,absolute
straight,True,straight,True,0.31,True,holdout-035-original,587,ablation,310.93,38,0,True,holdout,holdout-035,True,original
straight,True,west,True,0.31,True,holdout-009-absolute,509,ablation,364.69,38,0,True,holdout,holdout-009,True,absolute
straight,True,straight,True,0.69,True,holdout-010-compact,525,ablation,333.91,38,0,True,holdout,holdout-010,True,compact
left,False,left,True,0.21,True,development-009-order-0-1,586,order,277.41,38,0,True,development,development-009,True,original
straight,True,straight,True,0.51,True,development-026-compact,504,ablation,278.11,38,0,True,development,development-026,True,compact
right,True,west,True,0.77,True,holdout-040-absolute,487,ablation,332.94,38,0,True,holdout,holdout-040,True,absolute
left,True,left,True,0.78,True,development-011-local,591,ablation,358.02,38,0,True,development,development-011,True,local
,True,no,True,0.65,True,development-004-progress-left,465,atomic,339.84,31,,,development,development-004,True,progress
,True,yes,True,0.8,True,development-021-safe-right,474,atomic,335.01,31,,,development,development-021,True,safe
,True,yes,True,0.86,True,development-007-safe-right,470,atomic,391.96,31,,,development,development-007,True,safe
straight,False,straight,True,0.42,False,holdout-026-original,624,ablation,323.13,38,2,True,holdout,holdout-026,True,original
straight,True,straight,True,0.34,True,development-006-order-3-1,609,order,299.59,38,0,True,development,development-006,True,original
,True,yes,True,0.8,True,development-008-safe-straight,443,atomic,311.2,31,,,development,development-008,True,safe
straight,True,straight,True,0.38,True,development-008-original,586,ablation,326.99,38,0,True,development,development-008,True,original
right,True,right,True,0.63,True,holdout-045-local,592,ablation,318.79,38,0,True,holdout,holdout-045,True,local
straight,True,straight,True,0.44,True,development-006-order-4-1,609,order,290.1,38,0,True,development,development-006,True,original
straight,True,straight,True,0.23,True,holdout-014-local,601,ablation,330.25,38,0,True,holdout,holdout-014,True,local
,True,yes,True,0.67,True,development-023-safe-straight,461,atomic,276.6,31,,,development,development-023,True,safe
straight,True,straight,True,0.59,True,development-021-local,617,ablation,290.03,38,0,True,development,development-021,True,local
straight,False,straight,True,0.4,False,holdout-036-compact,487,ablation,270.11,38,2,True,holdout,holdout-036,True,compact
straight,True,straight,True,0.46,True,development-046-original,589,ablation,374.03,38,0,True,development,development-046,True,original
straight,True,straight,True,0.49,True,holdout-029-original,607,ablation,274.43,38,0,True,holdout,holdout-029,True,original
right,True,east,True,0.28,True,holdout-058-absolute,486,ablation,283.95,38,0,True,holdout,holdout-058,True,absolute
,False,no,True,0.13,False,development-024-progress-straight,486,atomic,296.62,31,,,development,development-024,True,progress
right,True,west,True,0.26,True,development-035-absolute,505,ablation,304.36,38,0,True,development,development-035,True,absolute
straight,False,straight,True,0.19,False,development-011-order-5-1,594,order,314.11,38,2,True,development,development-011,True,original
,True,yes,True,0.91,True,development-019-safe-right,455,atomic,282.71,31,,,development,development-019,True,safe
straight,True,straight,True,0.86,True,development-019-original,599,ablation,271.45,38,0,True,development,development-019,True,original
left,True,left,True,1.0,True,development-043-exact,566,ablation,301.26,38,0,True,development,development-043,True,exact
straight,False,straight,True,0.28,False,development-005-order-4-1,606,order,301.69,38,2,True,development,development-005,True,original
right,True,right,True,0.57,True,development-035-exact,587,ablation,265.51,38,0,True,development,development-035,True,exact
,True,yes,True,0.37,True,development-002-safe-straight,461,atomic,354.69,31,,,development,development-002,True,safe
straight,False,straight,True,0.21,False,development-005-order-4-0,606,order,293.35,38,2,True,development,development-005,True,original
,True,yes,True,0.79,True,development-006-safe-straight,464,atomic,322.76,31,,,development,development-006,True,safe
straight,True,straight,True,1.0,True,holdout-019-exact,599,ablation,278.35,38,0,True,holdout,holdout-019,True,exact
straight,True,straight,True,0.67,True,development-012-original,614,ablation,366.96,38,0,True,development,development-012,True,original
left,True,left,True,0.62,True,development-009-compact,480,ablation,375.43,38,0,True,development,development-009,True,compact
straight,True,straight,True,0.64,True,development-021-compact,512,ablation,328.5,38,0,True,development,development-021,True,compact
right,True,right,True,0.82,True,development-023-exact,580,ablation,309.13,38,0,True,development,development-023,True,exact
,False,no,True,0.13,False,development-011-progress-left,461,atomic,346.45,31,,,development,development-011,True,progress
straight,True,straight,True,0.43,True,development-008-order-4-0,586,order,323.4,38,0,True,development,development-008,True,original
straight,True,north,True,0.22,True,holdout-023-absolute,510,ablation,336.34,38,0,True,holdout,holdout-023,True,absolute
left,True,left,True,0.17,True,holdout-037-original,592,ablation,305.26,38,0,True,holdout,holdout-037,True,original
straight,False,south,True,0.73,False,development-047-absolute,487,ablation,291.43,38,2,True,development,development-047,True,absolute
,True,yes,True,0.02,True,development-015-progress-left,493,atomic,323.51,31,,,development,development-015,True,progress
,True,yes,True,0.12,True,development-003-safe-straight,474,atomic,338.89,31,,,development,development-003,True,safe
straight,True,straight,True,0.44,True,development-030-original,619,ablation,283.87,38,0,True,development,development-030,True,original
straight,True,straight,True,0.42,True,development-056-local,604,ablation,307.94,38,0,True,development,development-056,True,local
,True,no,True,0.22,True,development-018-progress-left,479,atomic,336.48,31,,,development,development-018,True,progress
straight,True,straight,True,0.7,True,development-037-compact,511,ablation,297.19,38,0,True,development,development-037,True,compact
right,True,right,True,0.72,True,holdout-052-local,599,ablation,331.7,38,0,True,holdout,holdout-052,True,local
straight,True,straight,True,0.24,True,development-058-original,594,ablation,329.03,38,0,True,development,development-058,True,original
,True,yes,True,0.88,True,development-018-safe-right,467,atomic,350.77,31,,,development,development-018,True,safe
straight,True,straight,True,0.23,True,development-000-order-5-1,625,order,334.94,38,0,True,development,development-000,True,original
straight,False,straight,True,0.26,False,development-052-compact,481,ablation,308.48,38,2,True,development,development-052,True,compact
straight,True,east,True,0.54,True,development-037-absolute,511,ablation,298.8,38,0,True,development,development-037,True,absolute
straight,True,straight,True,0.99,True,development-024-exact,593,ablation,303.15,38,0,True,development,development-024,True,exact
right,True,right,True,0.8,True,development-020-exact,590,ablation,331.62,38,0,True,development,development-020,True,exact
right,True,right,True,0.79,True,holdout-044-compact,486,ablation,335.48,38,0,True,holdout,holdout-044,True,compact
straight,True,straight,True,0.57,True,development-002-order-5-0,606,order,312.64,38,0,True,development,development-002,True,original
straight,True,straight,True,0.65,True,holdout-013-compact,517,ablation,297.77,38,0,True,holdout,holdout-013,True,compact
straight,True,north,True,0.57,True,development-039-absolute,501,ablation,288.54,38,0,True,development,development-039,True,absolute
straight,False,straight,True,0.3,False,development-003-order-1-1,619,order,296.69,38,2,True,development,development-003,True,original
straight,True,straight,True,0.2,True,development-044-compact,480,ablation,382.79,38,0,True,development,development-044,True,compact
straight,True,straight,True,0.5,True,holdout-013-original,624,ablation,292.85,38,0,True,holdout,holdout-013,True,original
straight,True,north,True,0.2,True,holdout-043-absolute,486,ablation,326.55,38,0,True,holdout,holdout-043,True,absolute
,True,no,True,0.84,True,development-013-progress-straight,487,atomic,312.83,31,,,development,development-013,True,progress
straight,False,straight,True,0.05,False,development-005-order-2-0,606,order,335.94,38,2,True,development,development-005,True,original
left,True,left,True,0.99,True,development-042-exact,563,ablation,263.38,38,0,True,development,development-042,True,exact
,True,yes,True,0.7,True,development-011-safe-left,449,atomic,305.88,31,,,development,development-011,True,safe
,True,no,True,0.8,True,development-014-progress-right,474,atomic,300.14,31,,,development,development-014,True,progress
left,True,left,True,0.84,True,development-030-exact,597,ablation,667.51,38,0,True,development,development-030,True,exact
right,True,right,True,0.25,True,holdout-016-compact,523,ablation,263.6,38,0,True,holdout,holdout-016,True,compact
straight,True,straight,True,0.44,True,development-057-compact,486,ablation,309.49,38,0,True,development,development-057,True,compact
straight,True,straight,True,0.6,True,development-056-original,603,ablation,364.61,38,0,True,development,development-056,True,original
straight,True,straight,True,0.22,True,development-059-compact,481,ablation,284.13,38,0,True,development,development-059,True,compact
straight,True,straight,True,0.35,True,holdout-046-original,589,ablation,304.25,38,0,True,holdout,holdout-046,True,original
,True,yes,True,0.55,True,development-015-safe-straight,481,atomic,308.44,31,,,development,development-015,True,safe
left,True,left,True,0.22,True,development-041-compact,481,ablation,296.86,38,0,True,development,development-041,True,compact
left,False,east,True,0.35,False,development-038-absolute,511,ablation,336.43,38,2,True,development,development-038,True,absolute
straight,True,west,True,0.3,True,holdout-019-absolute,517,ablation,380.78,38,0,True,holdout,holdout-019,True,absolute
straight,True,straight,True,0.87,True,holdout-000-exact,576,ablation,413.76,38,0,True,holdout,holdout-000,True,exact
straight,True,straight,True,0.43,True,development-006-order-2-1,609,order,329.11,38,0,True,development,development-006,True,original
straight,True,straight,True,1.0,True,development-039-exact,583,ablation,368.34,38,0,True,development,development-039,True,exact
left,False,left,True,0.27,False,development-002-order-3-1,606,order,298.52,38,2,True,development,development-002,True,original
left,True,left,True,0.95,True,holdout-012-exact,562,ablation,712.69,38,0,True,holdout,holdout-012,True,exact
right,True,right,True,0.74,True,holdout-058-exact,568,ablation,333.3,38,0,True,holdout,holdout-058,True,exact
right,True,right,True,0.99,True,holdout-057-exact,565,ablation,297.67,38,0,True,holdout,holdout-057,True,exact
right,True,right,True,1.0,True,holdout-042-exact,565,ablation,457.29,38,0,True,holdout,holdout-042,True,exact
left,True,left,True,0.25,True,development-003-order-3-0,619,order,312.31,38,0,True,development,development-003,True,original
left,False,east,True,0.52,False,development-024-absolute,511,ablation,288.81,38,2,True,development,development-024,True,absolute
straight,True,straight,True,0.58,True,development-025-local,593,ablation,295.5,38,0,True,development,development-025,True,local
right,True,right,True,0.53,True,development-052-original,589,ablation,328.81,38,0,True,development,development-052,True,original
left,True,left,True,0.99,True,development-055-exact,573,ablation,297.64,38,0,True,development,development-055,True,exact
left,True,left,True,0.1,True,holdout-037-compact,485,ablation,349.46,38,0,True,holdout,holdout-037,True,compact
straight,True,straight,True,0.9,True,development-039-local,606,ablation,356.2,38,0,True,development,development-039,True,local
straight,True,straight,True,0.73,True,development-004-order-0-1,597,order,379.58,38,0,True,development,development-004,True,original
left,True,left,True,0.76,True,holdout-047-local,590,ablation,356.78,38,0,True,holdout,holdout-047,True,local
,True,yes,True,0.7,True,development-000-safe-right,481,atomic,305.2,31,,,development,development-000,True,safe
right,True,right,True,0.67,True,holdout-044-original,591,ablation,281.82,38,0,True,holdout,holdout-044,True,original
straight,False,straight,True,0.35,False,development-047-original,595,ablation,353.29,38,2,True,development,development-047,True,original
,True,yes,True,0.87,True,development-007-safe-left,470,atomic,272.62,31,,,development,development-007,True,safe
straight,True,straight,True,0.44,True,development-001-order-1-0,602,order,274.96,38,0,True,development,development-001,True,original
right,True,east,True,0.97,True,development-013-absolute,511,ablation,319.73,38,0,True,development,development-013,True,absolute
straight,True,straight,True,0.87,True,holdout-043-exact,571,ablation,307.96,38,0,True,holdout,holdout-043,True,exact
straight,False,straight,True,0.31,False,development-007-order-5-0,615,order,370.94,38,2,True,development,development-007,True,original
straight,False,straight,True,0.29,False,development-009-order-3-0,586,order,321.92,38,2,True,development,development-009,True,original
straight,False,straight,True,0.28,False,holdout-033-compact,487,ablation,376.01,38,2,True,holdout,holdout-033,True,compact
straight,True,straight,True,0.31,True,holdout-030-original,599,ablation,331.62,38,0,True,holdout,holdout-030,True,original
right,True,right,True,0.98,True,holdout-044-local,591,ablation,348.65,38,0,True,holdout,holdout-044,True,local
straight,True,straight,True,0.46,True,development-006-order-5-1,609,order,370.12,38,0,True,development,development-006,True,original
straight,True,straight,True,0.35,True,development-008-order-1-0,586,order,316.01,38,0,True,development,development-008,True,original
straight,True,straight,True,0.65,True,holdout-013-local,622,ablation,360.54,38,0,True,holdout,holdout-013,True,local
straight,True,north,True,0.35,True,development-006-absolute,503,ablation,313.45,38,0,True,development,development-006,True,absolute
left,True,left,True,0.55,True,development-055-original,598,ablation,341.24,38,0,True,development,development-055,True,original
left,True,left,True,0.25,True,development-053-local,589,ablation,316.15,38,0,True,development,development-053,True,local
straight,True,west,True,0.57,True,development-016-absolute,510,ablation,294.64,38,0,True,development,development-016,True,absolute
left,False,left,True,0.09,False,development-010-order-4-0,598,order,363.02,38,2,True,development,development-010,True,original
right,True,right,True,0.31,True,holdout-040-compact,487,ablation,362.1,38,0,True,holdout,holdout-040,True,compact
straight,True,straight,True,0.6,True,development-031-local,615,ablation,303.11,38,0,True,development,development-031,True,local
straight,True,straight,True,0.35,True,holdout-027-original,611,ablation,389.14,38,0,True,holdout,holdout-027,True,original
right,True,right,True,0.22,True,holdout-032-local,585,ablation,312.39,38,0,True,holdout,holdout-032,True,local
straight,True,straight,True,0.88,True,development-046-exact,566,ablation,280.47,38,0,True,development,development-046,True,exact
right,True,right,True,1.0,True,development-013-exact,598,ablation,287.69,38,0,True,development,development-013,True,exact
,True,no,True,0.99,True,development-012-safe-left,471,atomic,312.96,31,,,development,development-012,True,safe
straight,True,straight,True,0.37,True,holdout-046-compact,481,ablation,330.1,38,0,True,holdout,holdout-046,True,compact
,True,yes,True,0.11,True,development-018-progress-right,479,atomic,292.11,31,,,development,development-018,True,progress
straight,True,straight,True,0.91,True,holdout-021-local,605,ablation,382.96,38,0,True,holdout,holdout-021,True,local
,True,no,True,0.99,True,development-013-safe-left,475,atomic,270.06,31,,,development,development-013,True,safe
,True,yes,True,0.9,True,development-025-safe-right,450,atomic,317.05,31,,,development,development-025,True,safe
straight,True,straight,True,0.96,True,holdout-018-local,591,ablation,423.66,38,0,True,holdout,holdout-018,True,local
straight,False,straight,True,0.24,False,holdout-036-original,595,ablation,341.29,38,2,True,holdout,holdout-036,True,original
straight,False,east,True,0.25,False,development-017-absolute,486,ablation,306.6,38,2,True,development,development-017,True,absolute
