trial,case_id,family,mode,expected,choice,correct,score_eligible,confidence,input_tokens,output_tokens
119,retrieval-128-middle-1-explicit,retrieval,explicit,C385,C385,True,True,1.0,2049,60
120,decimal-5-explicit,decimal,explicit,equal,equal,True,True,0.98,367,38
121,retrieval-128-start-0-reversed,retrieval,reversed,C000,C000,True,True,1.0,2024,60
122,retrieval-16-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,568,60
123,arithmetic-3-False-plain,arithmetic,plain,44,44,True,True,1.0,362,50
124,decimal-0-reversed,decimal,reversed,second,second,True,True,0.99,340,38
125,prerequisite-2-False-explicit,prerequisite,explicit,yes,yes,True,True,1.0,383,42
126,object_tracking-1-plain,object_tracking,plain,hall,hall,True,True,1.0,354,47
127,object_tracking-0-explicit,object_tracking,explicit,kitchen,kitchen,True,True,1.0,379,48
128,retrieval-16-end-0-reversed,retrieval,reversed,C555,C555,True,True,1.0,568,60
129,conditional-0-plain,conditional,plain,no,no,True,False,1.0,349,42
130,retrieval-16-middle-0-reversed,retrieval,reversed,C296,C296,True,True,1.0,568,60
131,retrieval-16-middle-1-reversed,retrieval,reversed,C307,C307,True,True,1.0,568,60
132,quantifiers-4-plain,quantifiers,plain,no,no,True,True,1.0,346,42
133,quantifiers-7-explicit,quantifiers,explicit,cannot_be_determined,cannot_be_determined,True,True,0.94,366,46
134,conditional-4-plain,conditional,plain,no,no,True,False,0.99,349,42
135,quantifiers-1-explicit,quantifiers,explicit,no,no,True,True,1.0,370,42
136,retrieval-512-middle-0-plain,retrieval,plain,C499,C499,True,True,1.0,7016,60
137,retrieval-128-end-2-reversed,retrieval,reversed,C733,C733,True,True,1.0,2024,60
138,negation-1-reversed,negation,reversed,yes,yes,True,True,0.76,336,42
139,conditional-3-explicit,conditional,explicit,yes,yes,True,False,1.0,373,42
140,retrieval-128-middle-2-reversed,retrieval,reversed,C396,C396,True,True,1.0,2024,60
141,arithmetic-4-False-reversed,arithmetic,reversed,92,92,True,True,1.0,367,52
142,object_tracking-0-plain,object_tracking,plain,kitchen,kitchen,True,True,1.0,354,48
143,object_tracking-4-plain,object_tracking,plain,hall,hall,True,True,1.0,369,47
144,conditional-6-plain,conditional,plain,cannot_be_determined,no,False,False,0.54,348,42
145,arithmetic-1-False-reversed,arithmetic,reversed,15,15,True,True,0.99,358,49
146,decimal-4-explicit,decimal,explicit,second,second,True,True,1.0,365,38
147,object_tracking-3-explicit,object_tracking,explicit,office,office,True,True,1.0,379,47
148,retrieval-16-start-0-reversed,retrieval,reversed,C000,C000,True,True,1.0,568,60
149,arithmetic-3-True-plain,arithmetic,plain,44,44,True,True,0.99,381,50
150,decimal-0-plain,decimal,plain,second,second,True,True,0.99,340,38
151,conditional-4-explicit,conditional,explicit,no,no,True,False,0.99,374,42
152,retrieval-512-end-0-reversed,retrieval,reversed,C961,C961,True,True,1.0,7016,60
153,prerequisite-1-False-reversed,prerequisite,reversed,yes,yes,True,True,1.0,358,42
154,evidence-1-reversed,evidence,reversed,cannot_be_determined,cannot_be_determined,True,True,1.0,339,46
155,prerequisite-1-False-plain,prerequisite,plain,yes,yes,True,True,1.0,358,42
156,arithmetic-0-False-reversed,arithmetic,reversed,7,7,True,True,1.0,353,46
157,quantifiers-4-plain,quantifiers,plain,no,no,True,True,1.0,346,42
158,quantifiers-3-explicit,quantifiers,explicit,cannot_be_determined,cannot_be_determined,True,True,0.98,370,46
159,negation-3-reversed,negation,reversed,no,no,True,True,1.0,335,42
160,conditional-0-reversed,conditional,reversed,no,no,True,False,1.0,349,42
161,conditional-7-plain,conditional,plain,yes,yes,True,False,1.0,348,42
162,retrieval-512-start-2-explicit,retrieval,explicit,C022,C022,True,True,1.0,7041,60
163,conditional-7-explicit,conditional,explicit,yes,yes,True,False,1.0,373,42
164,prerequisite-3-True-explicit,prerequisite,explicit,no,no,True,True,1.0,387,42
165,arithmetic-3-False-explicit,arithmetic,explicit,44,44,True,True,1.0,387,50
166,retrieval-128-end-1-explicit,retrieval,explicit,C722,C722,True,True,1.0,2049,60
167,prerequisite-3-True-reversed,prerequisite,reversed,no,no,True,True,1.0,362,42
168,conditional-2-reversed,conditional,reversed,yes,yes,True,False,1.0,348,42
169,retrieval-512-middle-0-plain,retrieval,plain,C499,C499,True,True,1.0,7016,60
170,evidence-5-plain,evidence,plain,no,no,True,True,1.0,337,42
171,prerequisite-1-True-plain,prerequisite,plain,no,no,True,True,1.0,359,42
172,arithmetic-2-False-reversed,arithmetic,reversed,22,22,True,True,1.0,358,49
173,retrieval-128-start-0-plain,retrieval,plain,C000,C000,True,True,1.0,2024,60
174,conditional-0-explicit,conditional,explicit,no,no,True,False,1.0,374,42
175,quantifiers-3-explicit,quantifiers,explicit,cannot_be_determined,cannot_be_determined,True,True,0.98,370,46
176,retrieval-512-middle-0-explicit,retrieval,explicit,C499,C499,True,True,1.0,7041,60
177,evidence-4-explicit,evidence,explicit,yes,yes,True,True,0.99,362,42
178,arithmetic-4-True-reversed,arithmetic,reversed,92,92,True,True,1.0,386,52
179,evidence-1-plain,evidence,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,339,46
180,prerequisite-2-False-plain,prerequisite,plain,yes,yes,True,True,1.0,358,42
181,conditional-6-reversed,conditional,reversed,cannot_be_determined,no,False,False,0.68,348,42
182,arithmetic-5-False-plain,arithmetic,plain,167,167,True,True,1.0,371,55
183,arithmetic-5-False-explicit,arithmetic,explicit,167,167,True,True,1.0,396,55
184,decimal-1-plain,decimal,plain,first,first,True,True,1.0,340,38
185,retrieval-16-middle-1-plain,retrieval,plain,C307,C307,True,True,1.0,568,60
186,negation-0-reversed,negation,reversed,no,no,True,True,1.0,335,42
187,prerequisite-1-True-explicit,prerequisite,explicit,no,no,True,True,1.0,384,42
188,conditional-0-reversed,conditional,reversed,no,no,True,False,1.0,349,42
189,evidence-1-explicit,evidence,explicit,cannot_be_determined,cannot_be_determined,True,True,0.99,364,46
190,retrieval-16-start-0-reversed,retrieval,reversed,C000,C000,True,True,1.0,568,60
191,arithmetic-1-True-plain,arithmetic,plain,15,15,True,True,0.98,377,49
192,conditional-2-explicit,conditional,explicit,yes,yes,True,False,1.0,373,42
193,quantifiers-6-plain,quantifiers,plain,no,no,True,True,1.0,342,42
194,negation-2-explicit,negation,explicit,yes,yes,True,True,1.0,359,42
195,object_tracking-7-reversed,object_tracking,reversed,kitchen,kitchen,True,True,1.0,369,48
196,retrieval-512-start-0-reversed,retrieval,reversed,C000,C000,True,True,1.0,7016,60
197,retrieval-128-end-0-explicit,retrieval,explicit,C711,C711,True,True,1.0,2049,60
198,retrieval-512-end-2-explicit,retrieval,explicit,C983,C983,True,True,1.0,7041,60
199,conditional-6-explicit,conditional,explicit,cannot_be_determined,cannot_be_determined,True,False,0.27,373,46
200,arithmetic-4-True-reversed,arithmetic,reversed,92,92,True,True,1.0,386,52
201,arithmetic-3-False-reversed,arithmetic,reversed,44,44,True,True,1.0,362,50
202,arithmetic-0-True-plain,arithmetic,plain,7,7,True,True,0.99,372,46
203,quantifiers-5-plain,quantifiers,plain,yes,yes,True,True,0.71,342,42
204,retrieval-128-start-0-explicit,retrieval,explicit,C000,C000,True,True,1.0,2049,60
205,ordering-0-plain,ordering,plain,Davi,Davi,True,True,1.0,350,48
206,retrieval-16-middle-2-explicit,retrieval,explicit,C318,C318,True,True,1.0,593,60
207,evidence-0-plain,evidence,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,336,46
208,retrieval-512-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,7016,60
209,retrieval-128-middle-1-plain,retrieval,plain,C385,C385,True,True,1.0,2024,60
210,conditional-7-reversed,conditional,reversed,yes,yes,True,False,1.0,348,42
211,object_tracking-6-reversed,object_tracking,reversed,office,office,True,True,1.0,369,47
212,retrieval-16-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,568,60
213,prerequisite-0-False-plain,prerequisite,plain,yes,yes,True,True,1.0,357,42
214,arithmetic-4-False-plain,arithmetic,plain,92,92,True,True,1.0,367,52
215,prerequisite-1-False-plain,prerequisite,plain,yes,yes,True,True,1.0,358,42
216,decimal-4-reversed,decimal,reversed,second,second,True,True,1.0,340,38
217,prerequisite-2-False-explicit,prerequisite,explicit,yes,yes,True,True,1.0,383,42
218,negation-0-explicit,negation,explicit,no,no,True,True,1.0,360,42
219,object_tracking-7-plain,object_tracking,plain,kitchen,kitchen,True,True,1.0,369,48
220,prerequisite-3-False-plain,prerequisite,plain,yes,yes,True,True,0.99,361,42
221,evidence-2-reversed,evidence,reversed,no,no,True,True,1.0,341,42
222,ordering-1-plain,ordering,plain,Ben,Ben,True,True,1.0,351,47
223,decimal-0-reversed,decimal,reversed,second,second,True,True,0.99,340,38
224,retrieval-128-middle-1-reversed,retrieval,reversed,C385,C385,True,True,1.0,2024,60
225,evidence-0-plain,evidence,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,336,46
226,retrieval-16-end-1-explicit,retrieval,explicit,C566,C566,True,True,1.0,593,60
227,retrieval-128-start-1-plain,retrieval,plain,C011,C011,True,True,1.0,2024,60
228,decimal-1-explicit,decimal,explicit,first,first,True,True,1.0,365,38
229,quantifiers-1-explicit,quantifiers,explicit,no,no,True,True,1.0,370,42
230,decimal-1-reversed,decimal,reversed,first,first,True,True,1.0,340,38
231,arithmetic-0-False-plain,arithmetic,plain,7,7,True,True,1.0,353,46
232,quantifiers-7-reversed,quantifiers,reversed,cannot_be_determined,cannot_be_determined,True,True,0.92,341,46
233,negation-0-plain,negation,plain,no,no,True,True,1.0,335,42
234,arithmetic-4-False-plain,arithmetic,plain,92,92,True,True,1.0,367,52
235,quantifiers-4-reversed,quantifiers,reversed,no,no,True,True,1.0,346,42
236,negation-3-explicit,negation,explicit,no,no,True,True,1.0,360,42
237,arithmetic-1-False-reversed,arithmetic,reversed,15,15,True,True,0.99,358,49
238,decimal-2-reversed,decimal,reversed,second,second,True,True,0.99,342,38
239,object_tracking-6-reversed,object_tracking,reversed,office,office,True,True,1.0,369,47
240,quantifiers-3-reversed,quantifiers,reversed,cannot_be_determined,cannot_be_determined,True,True,0.99,345,46
241,object_tracking-2-explicit,object_tracking,explicit,garden,garden,True,True,1.0,379,48
242,evidence-3-reversed,evidence,reversed,yes,yes,True,True,1.0,338,42
243,negation-1-reversed,negation,reversed,yes,yes,True,True,0.8,336,42
244,retrieval-16-end-1-reversed,retrieval,reversed,C566,C566,True,True,1.0,568,60
245,quantifiers-7-plain,quantifiers,plain,cannot_be_determined,cannot_be_determined,True,True,0.96,341,46
246,evidence-2-explicit,evidence,explicit,no,no,True,True,1.0,366,42
247,decimal-3-reversed,decimal,reversed,first,first,True,True,1.0,341,38
248,arithmetic-4-False-reversed,arithmetic,reversed,92,92,True,True,1.0,367,52
249,prerequisite-0-False-reversed,prerequisite,reversed,yes,yes,True,True,0.99,357,42
250,retrieval-128-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,2024,60
251,quantifiers-0-reversed,quantifiers,reversed,yes,yes,True,True,0.99,345,42
252,retrieval-128-start-1-explicit,retrieval,explicit,C011,C011,True,True,1.0,2049,60
253,prerequisite-1-True-explicit,prerequisite,explicit,no,no,True,True,1.0,384,42
254,retrieval-128-middle-2-explicit,retrieval,explicit,C396,C396,True,True,1.0,2049,60
255,retrieval-128-end-1-plain,retrieval,plain,C722,C722,True,True,1.0,2024,60
256,ordering-3-explicit,ordering,explicit,Davi,Davi,True,True,1.0,374,48
257,retrieval-128-end-0-reversed,retrieval,reversed,C711,C711,True,True,1.0,2024,60
258,arithmetic-3-False-plain,arithmetic,plain,44,44,True,True,1.0,362,50
259,ordering-0-reversed,ordering,reversed,Davi,Davi,True,True,1.0,350,48
260,arithmetic-2-False-reversed,arithmetic,reversed,22,22,True,True,1.0,358,49
261,arithmetic-1-False-plain,arithmetic,plain,15,15,True,True,1.0,358,49
262,ordering-4-plain,ordering,plain,Davi,Davi,True,True,1.0,350,48
263,prerequisite-0-True-explicit,prerequisite,explicit,no,no,True,True,1.0,383,42
264,ordering-2-explicit,ordering,explicit,Ben,Ben,True,True,1.0,375,47
265,retrieval-512-middle-2-explicit,retrieval,explicit,C521,C521,True,True,1.0,7041,60
266,retrieval-512-end-2-explicit,retrieval,explicit,C983,C983,True,True,1.0,7041,60
267,retrieval-16-start-2-reversed,retrieval,reversed,C022,C022,True,True,1.0,568,60
268,retrieval-512-start-1-explicit,retrieval,explicit,C011,C011,True,True,1.0,7041,60
269,conditional-1-reversed,conditional,reversed,cannot_be_determined,cannot_be_determined,True,False,0.61,349,46
270,prerequisite-0-True-reversed,prerequisite,reversed,no,no,True,True,1.0,358,42
271,arithmetic-2-False-plain,arithmetic,plain,22,22,True,True,1.0,358,49
272,retrieval-16-start-1-reversed,retrieval,reversed,C011,C011,True,True,1.0,568,60
273,retrieval-512-middle-1-reversed,retrieval,reversed,C510,C510,True,True,1.0,7016,60
274,ordering-1-plain,ordering,plain,Ben,Ben,True,True,1.0,351,47
275,object_tracking-1-plain,object_tracking,plain,hall,hall,True,True,1.0,354,47
276,arithmetic-0-True-reversed,arithmetic,reversed,7,7,True,True,0.99,372,46
277,retrieval-128-middle-0-plain,retrieval,plain,C374,C374,True,True,1.0,2024,60
278,decimal-4-explicit,decimal,explicit,second,second,True,True,1.0,365,38
279,ordering-4-reversed,ordering,reversed,Davi,Davi,True,True,1.0,350,48
280,ordering-4-explicit,ordering,explicit,Davi,Davi,True,True,1.0,375,48
281,object_tracking-1-explicit,object_tracking,explicit,hall,hall,True,True,1.0,379,47
282,negation-2-plain,negation,plain,yes,yes,True,True,0.94,334,42
283,quantifiers-7-explicit,quantifiers,explicit,cannot_be_determined,cannot_be_determined,True,True,0.94,366,46
284,retrieval-16-start-2-explicit,retrieval,explicit,C022,C022,True,True,1.0,593,60
285,prerequisite-2-True-plain,prerequisite,plain,no,no,True,True,1.0,359,42
286,negation-3-explicit,negation,explicit,no,no,True,True,1.0,360,42
287,ordering-0-reversed,ordering,reversed,Davi,Davi,True,True,1.0,350,48
288,retrieval-16-start-0-reversed,retrieval,reversed,C000,C000,True,True,1.0,568,60
289,arithmetic-5-False-explicit,arithmetic,explicit,167,167,True,True,1.0,396,55
290,ordering-0-explicit,ordering,explicit,Davi,Davi,True,True,1.0,375,48
291,retrieval-128-start-2-explicit,retrieval,explicit,C022,C022,True,True,1.0,2049,60
292,evidence-1-reversed,evidence,reversed,cannot_be_determined,cannot_be_determined,True,True,1.0,339,46
293,evidence-5-explicit,evidence,explicit,no,no,True,True,1.0,362,42
294,retrieval-16-middle-1-explicit,retrieval,explicit,C307,C307,True,True,1.0,593,60
295,evidence-0-explicit,evidence,explicit,cannot_be_determined,cannot_be_determined,True,True,1.0,361,46
296,object_tracking-5-explicit,object_tracking,explicit,garden,garden,True,True,1.0,394,48
297,conditional-1-plain,conditional,plain,cannot_be_determined,cannot_be_determined,True,False,0.65,349,46
298,quantifiers-3-plain,quantifiers,plain,cannot_be_determined,cannot_be_determined,True,True,0.99,345,46
299,retrieval-16-end-2-plain,retrieval,plain,C577,C577,True,True,1.0,568,60
300,evidence-4-explicit,evidence,explicit,yes,yes,True,True,0.98,362,42
301,arithmetic-2-False-plain,arithmetic,plain,22,22,True,True,1.0,358,49
302,conditional-0-reversed,conditional,reversed,no,no,True,False,1.0,349,42
303,retrieval-512-end-0-plain,retrieval,plain,C961,C961,True,True,1.0,7016,60
304,prerequisite-0-True-explicit,prerequisite,explicit,no,no,True,True,1.0,383,42
305,object_tracking-7-explicit,object_tracking,explicit,kitchen,kitchen,True,True,1.0,394,48
306,prerequisite-3-False-plain,prerequisite,plain,yes,yes,True,True,0.99,361,42
307,arithmetic-3-False-reversed,arithmetic,reversed,44,44,True,True,1.0,362,50
308,ordering-5-plain,ordering,plain,Ben,Ben,True,True,1.0,351,47
309,arithmetic-4-True-reversed,arithmetic,reversed,92,92,True,True,1.0,386,52
310,arithmetic-1-True-explicit,arithmetic,explicit,15,15,True,True,0.99,402,49
311,negation-1-explicit,negation,explicit,yes,yes,True,True,1.0,361,42
312,quantifiers-6-explicit,quantifiers,explicit,no,no,True,True,1.0,367,42
313,evidence-4-plain,evidence,plain,yes,yes,True,True,0.86,337,42
314,evidence-5-explicit,evidence,explicit,no,no,True,True,1.0,362,42
315,retrieval-128-end-2-reversed,retrieval,reversed,C733,C733,True,True,1.0,2024,60
316,retrieval-16-end-0-reversed,retrieval,reversed,C555,C555,True,True,1.0,568,60
317,prerequisite-3-False-reversed,prerequisite,reversed,yes,yes,True,True,0.99,361,42
318,retrieval-128-middle-2-reversed,retrieval,reversed,C396,C396,True,True,1.0,2024,60
319,retrieval-512-start-0-explicit,retrieval,explicit,C000,C000,True,True,1.0,7041,60
320,quantifiers-1-plain,quantifiers,plain,no,no,True,True,1.0,345,42
321,retrieval-16-start-2-reversed,retrieval,reversed,C022,C022,True,True,1.0,568,60
322,conditional-1-reversed,conditional,reversed,cannot_be_determined,cannot_be_determined,True,False,0.58,349,46
323,retrieval-16-end-1-reversed,retrieval,reversed,C566,C566,True,True,1.0,568,60
324,retrieval-512-start-2-explicit,retrieval,explicit,C022,C022,True,True,1.0,7041,60
325,retrieval-512-start-1-reversed,retrieval,reversed,C011,C011,True,True,1.0,7016,60
326,conditional-1-plain,conditional,plain,cannot_be_determined,cannot_be_determined,True,False,0.65,349,46
327,retrieval-128-start-0-reversed,retrieval,reversed,C000,C000,True,True,1.0,2024,60
328,retrieval-512-start-0-plain,retrieval,plain,C000,C000,True,True,1.0,7016,60
329,retrieval-128-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,2024,60
330,ordering-2-explicit,ordering,explicit,Ben,Ben,True,True,1.0,375,47
331,negation-1-explicit,negation,explicit,yes,yes,True,True,1.0,361,42
332,retrieval-128-end-1-explicit,retrieval,explicit,C722,C722,True,True,1.0,2049,60
333,quantifiers-7-explicit,quantifiers,explicit,cannot_be_determined,cannot_be_determined,True,True,0.94,366,46
