case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
length-1024-walking-start-checks,length,30,walk,no,no,True,0.33,0.55,0.55,0.35819999999999996
transfer-pickup-checks,transfer,31,bring,no,no,True,0.99,0.99,0.99,0.0002000000000000002
transfer-pickup-checks,transfer,31,walk,yes,yes,True,0.86,0.91,0.91,0.013399999999999995
longtransfer-wash-512-end-checks,long_transfer,32,bring,yes,yes,True,0.99,0.99,0.99,0.0002000000000000002
longtransfer-wash-512-end-checks,long_transfer,32,walk,no,no,True,0.9,0.93,0.93,0.008599999999999993
factor-inline-goal-0-1,factorial,33,answer,drive,drive,True,0.04,0.52,0.52,0.4608
factor-inline-direct-0-0,factorial,34,answer,drive,walk,False,0.78,0.11,0.89,1.5842
batch-A,batching,35,A,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
longtransfer-pickup-512-end-checks,long_transfer,36,bring,no,no,True,0.99,0.99,0.99,0.0002000000000000002
longtransfer-pickup-512-end-checks,long_transfer,36,walk,yes,yes,True,0.95,0.96,0.96,0.002600000000000003
factor-state-goal-0-1,factorial,37,answer,drive,walk,False,0.25,0.38,0.62,0.7688
factor-state-goal-1-1,factorial,38,answer,drive,walk,False,0.42,0.32,0.61,0.8393999999999999
factor-inline-goal-1-0,factorial,39,answer,drive,walk,False,0.21,0.47,0.47,0.5054000000000001
count-river-algorithm,counting,40,answer,2,2,True,0.65,0.69,0.69,0.18620000000000003
count-RrR-plain,counting,41,answer,3,3,True,0.98,0.99,0.99,0.0002000000000000002
transfer-tires-direct,transfer,42,answer,drive,walk,False,0.19,0.41,0.59,0.6962
length-256-walking-start-direct,length,43,answer,drive,walk,False,0.87,0.07,0.93,1.7298
transfer-job-checks,transfer,44,bring,no,no,True,1.0,1.0,1.0,0.0
transfer-job-checks,transfer,44,walk,yes,yes,True,0.97,0.99,0.99,0.0002000000000000002
count-RrR-spaced,counting,45,answer,3,3,True,0.89,0.91,0.91,0.011599999999999994
transfer-pickup-direct,transfer,46,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
length-8192-walking-start-checks,length,47,bring,yes,yes,True,0.88,0.92,0.92,0.012799999999999994
length-8192-walking-start-checks,length,47,walk,no,no,True,0.33,0.55,0.55,0.35819999999999996
count-strawberry-algorithm,counting,48,answer,3,2,False,0.5,0.36,0.56,0.7264
count-abracadabra-algorithm,counting,49,answer,2,2,True,0.56,0.61,0.61,0.23160000000000003
length-0-neutral-start-checks,length,50,bring,yes,yes,True,0.95,0.97,0.97,0.0014000000000000017
length-0-neutral-start-checks,length,50,walk,no,no,True,0.7,0.8,0.8,0.06179999999999998
batch-A,batching,51,A,yes,yes,True,0.98,0.99,0.99,0.0002000000000000002
count-river-plain,counting,52,answer,2,2,True,0.72,0.75,0.75,0.1202
count-strawberries-plain,counting,53,answer,3,2,False,0.43,0.36,0.49,0.6596
count-rrabr-spaced,counting,54,answer,3,4,False,0.64,0.1,0.67,1.2991000000000001
length-1024-walking-middle-direct,length,55,answer,drive,walk,False,0.93,0.04,0.96,1.8432
transfer-supplies-direct,transfer,56,answer,walk,walk,True,1.0,1.0,1.0,0.0
factor-state-direct-0-1,factorial,57,answer,drive,walk,False,0.9,0.05,0.95,1.805
length-8192-walking-middle-direct,length,58,answer,drive,walk,False,0.96,0.02,0.98,1.9207999999999998
count-rrr-spaced,counting,59,answer,3,3,True,0.99,1.0,1.0,0.0
count-cherry-plain,counting,60,answer,2,2,True,0.82,0.84,0.84,0.03840000000000001
count-rrr-plain,counting,61,answer,3,3,True,1.0,1.0,1.0,0.0
count-rrrrrr-spaced,counting,62,answer,6,6,True,0.95,0.97,0.97,0.0014000000000000017
transfer-refund-goal,transfer,63,answer,walk,walk,True,1.0,1.0,1.0,0.0
longtransfer-pickup-4096-end-checks,long_transfer,64,bring,no,no,True,0.98,0.99,0.99,0.0002000000000000002
longtransfer-pickup-4096-end-checks,long_transfer,64,walk,yes,yes,True,0.9,0.93,0.93,0.008599999999999993
factor-state-direct-0-1,factorial,65,answer,drive,walk,False,0.9,0.05,0.95,1.805
factor-state-direct-0-1,factorial,66,answer,drive,walk,False,0.9,0.05,0.95,1.805
count-r-algorithm,counting,67,answer,1,1,True,0.98,0.99,0.99,0.0002000000000000002
length-8192-neutral-end-direct,length,68,answer,drive,walk,False,0.99,0.01,0.99,1.9602
longtransfer-pickup-512-end-direct,long_transfer,69,answer,walk,walk,True,0.98,0.99,0.99,0.0002000000000000002
factor-state-direct-1-1,factorial,70,answer,drive,walk,False,0.84,0.08,0.89,1.6394
length-4096-neutral-start-checks,length,71,bring,yes,yes,True,0.94,0.97,0.97,0.0014000000000000017
length-4096-neutral-start-checks,length,71,walk,no,no,True,0.77,0.84,0.84,0.040200000000000014
factor-state-direct-1-1,factorial,72,answer,drive,walk,False,0.89,0.05,0.93,1.7678
count-river-algorithm,counting,73,answer,2,2,True,0.67,0.71,0.71,0.16260000000000002
factor-state-goal-1-1,factorial,74,answer,drive,walk,False,0.45,0.29,0.64,0.9186
length-1024-walking-start-direct,length,75,answer,drive,walk,False,0.87,0.06,0.94,1.7671999999999999
transfer-wash-goal,transfer,76,answer,drive,walk,False,0.76,0.12,0.88,1.5488
length-256-walking-start-direct,length,77,answer,drive,walk,False,0.91,0.05,0.95,1.805
options-described,options,78,answer,drive,drive,True,0.36,0.68,0.68,0.20479999999999998
longtransfer-wash-512-end-checks,long_transfer,79,bring,yes,yes,True,0.99,0.99,0.99,0.0002000000000000002
longtransfer-wash-512-end-checks,long_transfer,79,walk,no,no,True,0.91,0.95,0.95,0.0050000000000000044
length-256-walking-middle-checks,length,80,bring,yes,yes,True,0.92,0.95,0.95,0.0050000000000000044
length-256-walking-middle-checks,length,80,walk,no,no,True,0.51,0.68,0.68,0.18239999999999998
key-transport,question_key,81,transport,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
factor-inline-goal-0-1,factorial,82,answer,drive,drive,True,0.24,0.62,0.62,0.2888
factor-state-direct-1-1,factorial,83,answer,drive,walk,False,0.9,0.04,0.93,1.7869000000000002
transfer-trade-goal,transfer,84,answer,drive,walk,False,0.84,0.08,0.92,1.6928
length-4096-neutral-middle-direct,length,85,answer,drive,walk,False,0.98,0.01,0.99,1.9602
length-0-neutral-start-checks,length,86,bring,yes,yes,True,0.97,0.97,0.97,0.0014000000000000017
length-0-neutral-start-checks,length,86,walk,no,no,True,0.84,0.89,0.89,0.018199999999999997
count-cherry-spaced,counting,87,answer,2,2,True,0.69,0.73,0.73,0.123
count-blueberry-plain,counting,88,answer,2,1,False,0.85,0.05,0.87,1.6658
longtransfer-wash-4096-end-checks,long_transfer,89,bring,yes,yes,True,0.99,0.99,0.99,0.0002000000000000002
longtransfer-wash-4096-end-checks,long_transfer,89,walk,no,no,True,0.9,0.93,0.93,0.008599999999999993
length-4096-walking-start-checks,length,90,bring,yes,yes,True,0.85,0.91,0.91,0.016199999999999992
length-4096-walking-start-checks,length,90,walk,no,no,True,0.59,0.73,0.73,0.1274
transfer-receipt-goal,transfer,91,answer,walk,walk,True,1.0,1.0,1.0,0.0
factor-inline-goal-1-0,factorial,92,answer,drive,drive,True,0.35,0.5599999999999999,0.5599999999999999,0.35520000000000007
length-1024-walking-end-direct,length,93,answer,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
count-raspberry-spaced,counting,94,answer,3,3,True,0.44,0.5,0.5,0.353
count-blueberry-spaced,counting,95,answer,2,1,False,0.73,0.23,0.76,1.1706
count-rrr-algorithm,counting,96,answer,3,3,True,1.0,1.0,1.0,0.0
factor-inline-goal-1-0,factorial,97,answer,drive,drive,True,0.4,0.6,0.6,0.27920000000000006
length-1024-walking-start-checks,length,98,bring,yes,yes,True,0.85,0.91,0.91,0.016199999999999992
length-1024-walking-start-checks,length,98,walk,no,no,True,0.49,0.66,0.66,0.20719999999999997
factor-inline-goal-0-0,factorial,99,answer,drive,walk,False,0.03,0.49,0.51,0.5202
count-blueberry-plain,counting,100,answer,2,1,False,0.86,0.03,0.88,1.7234
transfer-supplies-checks,transfer,101,bring,no,no,True,0.99,0.99,0.99,0.0002000000000000002
transfer-supplies-checks,transfer,101,walk,yes,yes,True,1.0,1.0,1.0,0.0
length-4096-neutral-end-direct,length,102,answer,drive,walk,False,0.96,0.02,0.98,1.9207999999999998
rule-feasibility,options,103,answer,drive,walk,False,0.97,0.01,0.99,1.9602
batch-A-B,batching,104,A,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
batch-A-B,batching,104,B,no,no,True,1.0,1.0,1.0,0.0
longtransfer-inspection-512-end-checks,long_transfer,105,bring,yes,yes,True,0.99,1.0,1.0,0.0
longtransfer-inspection-512-end-checks,long_transfer,105,walk,no,no,True,0.64,0.76,0.76,0.1064
factor-inline-direct-0-1,factorial,106,answer,drive,walk,False,0.87,0.07,0.93,1.7298
length-1024-neutral-start-direct,length,107,answer,drive,walk,False,0.83,0.08,0.92,1.6928
length-256-walking-middle-checks,length,108,bring,yes,yes,True,0.9,0.93,0.93,0.009799999999999993
length-256-walking-middle-checks,length,108,walk,no,no,True,0.5,0.67,0.67,0.18979999999999997
batch-A-B-transport,batching,109,A,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
batch-A-B-transport,batching,109,B,no,no,True,0.99,1.0,1.0,0.0
batch-A-B-transport,batching,109,transport,drive,walk,False,0.92,0.04,0.96,1.8432
longtransfer-pickup-4096-start-checks,long_transfer,110,bring,no,no,True,0.96,0.98,0.98,0.0008000000000000008
longtransfer-pickup-4096-start-checks,long_transfer,110,walk,yes,yes,True,0.76,0.84,0.84,0.045600000000000016
factor-state-direct-0-1,factorial,111,answer,drive,walk,False,0.92,0.04,0.96,1.8432
count-RrR-plain,counting,112,answer,3,3,True,0.98,0.99,0.99,0.0002000000000000002
count-river-spaced,counting,113,answer,2,2,True,0.83,0.85,0.85,0.03560000000000001
batch-A-B,batching,114,A,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
batch-A-B,batching,114,B,no,no,True,0.99,1.0,1.0,0.0
longtransfer-supplies-4096-start-direct,long_transfer,115,answer,walk,walk,True,1.0,1.0,1.0,0.0
count-cherry-plain,counting,116,answer,2,2,True,0.83,0.85,0.85,0.03380000000000001
factor-state-direct-1-0,factorial,117,answer,drive,walk,False,0.84,0.06,0.89,1.6782
count-abracadabra-plain,counting,118,answer,2,2,True,0.66,0.69,0.69,0.14200000000000004
transfer-refund-goal,transfer,119,answer,walk,walk,True,1.0,1.0,1.0,0.0
factor-state-goal-1-0,factorial,120,answer,drive,walk,False,0.67,0.19,0.78,1.2654
batch-transport,batching,121,transport,drive,walk,False,0.85,0.08,0.92,1.6928
count-abracadabra-spaced,counting,122,answer,2,3,False,0.4,0.34,0.46,0.6707999999999998
longtransfer-wash-4096-end-checks,long_transfer,123,bring,yes,yes,True,0.99,1.0,1.0,0.0
longtransfer-wash-4096-end-checks,long_transfer,123,walk,no,no,True,0.9,0.93,0.93,0.008599999999999993
transfer-pickup-goal,transfer,124,answer,walk,walk,True,1.0,1.0,1.0,0.0
transfer-trade-goal,transfer,125,answer,drive,walk,False,0.95,0.02,0.98,1.9207999999999998
transfer-wash-direct,transfer,126,answer,drive,walk,False,0.41,0.3,0.7,0.9799999999999999
count-error-algorithm,counting,127,answer,3,1,False,0.43,0.05,0.49,1.3452
factor-state-goal-1-1,factorial,128,answer,drive,walk,False,0.59,0.23,0.72,1.1138
factor-state-goal-0-1,factorial,129,answer,drive,walk,False,0.3,0.35,0.65,0.8450000000000001
factor-inline-direct-0-1,factorial,130,answer,drive,walk,False,0.85,0.07,0.93,1.7298
length-8192-walking-middle-checks,length,131,bring,yes,yes,True,0.86,0.91,0.91,0.014599999999999995
length-8192-walking-middle-checks,length,131,walk,no,no,True,0.71,0.81,0.81,0.06259999999999998
batch-A,batching,132,A,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
length-8192-neutral-middle-checks,length,133,bring,yes,yes,True,0.98,0.99,0.99,0.0002000000000000002
length-8192-neutral-middle-checks,length,133,walk,no,no,True,0.48,0.65,0.65,0.2258
factor-state-direct-0-0,factorial,134,answer,drive,walk,False,0.89,0.05,0.95,1.805
transfer-inspection-direct,transfer,135,answer,drive,walk,False,0.73,0.13,0.87,1.5138
batch-A-B,batching,136,A,yes,yes,True,0.96,0.98,0.98,0.0008000000000000008
batch-A-B,batching,136,B,no,no,True,1.0,1.0,1.0,0.0
count-strawberry-plain,counting,137,answer,3,2,False,0.42,0.45,0.48,0.5354
length-4096-neutral-start-checks,length,138,bring,yes,yes,True,0.94,0.96,0.96,0.002400000000000003
length-4096-neutral-start-checks,length,138,walk,no,no,True,0.74,0.82,0.82,0.05180000000000002
transfer-oil-checks,transfer,139,bring,yes,yes,True,0.93,0.95,0.95,0.0038000000000000043
transfer-oil-checks,transfer,139,walk,no,no,True,0.98,0.99,0.99,0.0002000000000000002
transfer-pickup-direct,transfer,140,answer,walk,walk,True,0.98,0.99,0.99,0.0002000000000000002
count-abracadabra-spaced,counting,141,answer,2,3,False,0.44,0.24,0.49,0.8596
longtransfer-supplies-4096-end-direct,long_transfer,142,answer,walk,walk,True,1.0,1.0,1.0,0.0
batch-A-B-transport,batching,143,A,yes,yes,True,0.96,0.98,0.98,0.0008000000000000008
batch-A-B-transport,batching,143,B,no,no,True,0.99,1.0,1.0,0.0
batch-A-B-transport,batching,143,transport,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
factor-inline-direct-0-0,factorial,144,answer,drive,walk,False,0.78,0.11,0.89,1.5842
count-river-spaced,counting,145,answer,2,2,True,0.76,0.79,0.79,0.074
count-abracadabra-algorithm,counting,146,answer,2,2,True,0.57,0.62,0.62,0.217
transfer-job-goal,transfer,147,answer,walk,walk,True,1.0,1.0,1.0,0.0
count-r-plain,counting,148,answer,1,1,True,0.99,1.0,1.0,0.0
factor-state-goal-1-1,factorial,149,answer,drive,walk,False,0.49,0.29,0.66,0.9422
count-strawberries-algorithm,counting,150,answer,3,2,False,0.42,0.35,0.48,0.6666000000000001
factor-inline-direct-1-0,factorial,151,answer,drive,walk,False,0.79,0.07,0.86,1.6093999999999997
factor-inline-goal-0-0,factorial,152,answer,drive,walk,False,0.16,0.42,0.58,0.6728000000000001
factor-state-goal-1-0,factorial,153,answer,drive,walk,False,0.71,0.17,0.81,1.3454000000000002
longtransfer-supplies-512-end-checks,long_transfer,154,bring,no,no,True,0.84,0.89,0.89,0.0222
longtransfer-supplies-512-end-checks,long_transfer,154,walk,yes,yes,True,0.91,0.94,0.94,0.006200000000000007
longtransfer-pickup-4096-start-direct,long_transfer,155,answer,walk,walk,True,0.89,0.94,0.94,0.007200000000000007
length-256-walking-start-checks,length,156,bring,yes,yes,True,0.91,0.94,0.94,0.006200000000000007
length-256-walking-start-checks,length,156,walk,no,no,True,0.72,0.81,0.81,0.06259999999999998
transfer-trade-goal,transfer,157,answer,drive,walk,False,0.94,0.03,0.97,1.8818
longtransfer-pickup-4096-start-checks,long_transfer,158,bring,no,no,True,0.98,0.99,0.99,0.0002000000000000002
longtransfer-pickup-4096-start-checks,long_transfer,158,walk,yes,yes,True,0.88,0.92,0.92,0.011399999999999993
transfer-inspection-checks,transfer,159,bring,yes,yes,True,0.97,0.98,0.98,0.0006000000000000007
transfer-inspection-checks,transfer,159,walk,no,no,True,0.97,0.99,0.99,0.0002000000000000002
factor-inline-goal-0-0,factorial,160,answer,drive,drive,True,0.23,0.62,0.62,0.2888
factor-state-direct-0-1,factorial,161,answer,drive,walk,False,0.9,0.05,0.95,1.805
length-4096-neutral-end-direct,length,162,answer,drive,walk,False,0.98,0.01,0.99,1.9602
batch-A-B-transport,batching,163,A,yes,yes,True,0.98,0.99,0.99,0.0002000000000000002
batch-A-B-transport,batching,163,B,no,no,True,1.0,1.0,1.0,0.0
batch-A-B-transport,batching,163,transport,drive,walk,False,0.85,0.08,0.92,1.6928
transfer-oil-goal,transfer,164,answer,drive,walk,False,0.48,0.26,0.74,1.0952
transfer-refund-direct,transfer,165,answer,walk,walk,True,1.0,1.0,1.0,0.0
transfer-weigh-goal,transfer,166,answer,drive,walk,False,0.19,0.4,0.6,0.72
longtransfer-supplies-512-start-checks,long_transfer,167,bring,no,no,True,0.92,0.95,0.95,0.0050000000000000044
longtransfer-supplies-512-start-checks,long_transfer,167,walk,yes,yes,True,0.94,0.97,0.97,0.0014000000000000017
factor-inline-direct-1-1,factorial,168,answer,drive,walk,False,0.87,0.03,0.92,1.7898
factor-inline-direct-1-0,factorial,169,answer,drive,walk,False,0.67,0.15,0.78,1.3357999999999999
length-256-neutral-end-checks,length,170,bring,yes,yes,True,0.98,0.98,0.98,0.0006000000000000007
length-256-neutral-end-checks,length,170,walk,no,no,True,0.46,0.65,0.65,0.21019999999999997
length-256-walking-end-direct,length,171,answer,drive,walk,False,0.78,0.11,0.89,1.5842
key-answer,question_key,172,answer,drive,walk,False,0.93,0.04,0.96,1.8432
batch-A-B,batching,173,A,yes,yes,True,0.96,0.98,0.98,0.0008000000000000008
batch-A-B,batching,173,B,no,no,True,1.0,1.0,1.0,0.0
batch-B,batching,174,B,no,no,True,0.99,1.0,1.0,0.0
count-abracadabra-spaced,counting,175,answer,2,3,False,0.46,0.28,0.51,0.8051999999999999
length-1024-neutral-middle-checks,length,176,bring,yes,yes,True,0.97,0.98,0.98,0.0006000000000000007
length-1024-neutral-middle-checks,length,176,walk,no,no,True,0.5,0.67,0.67,0.19459999999999997
length-4096-neutral-start-direct,length,177,answer,drive,walk,False,0.96,0.02,0.98,1.9207999999999998
count-RrR-spaced,counting,178,answer,3,3,True,0.93,0.93,0.93,0.0063999999999999925
longtransfer-pickup-512-start-direct,long_transfer,179,answer,walk,walk,True,0.91,0.96,0.96,0.003200000000000003
count-rrrrrr-spaced,counting,180,answer,6,6,True,0.95,0.96,0.96,0.002600000000000003
length-8192-neutral-end-checks,length,181,bring,yes,yes,True,0.97,0.98,0.98,0.0006000000000000007
length-8192-neutral-end-checks,length,181,walk,no,no,True,0.28,0.51,0.51,0.4082
options-described,options,182,answer,drive,drive,True,0.34,0.67,0.67,0.2178
factor-inline-goal-1-0,factorial,183,answer,drive,drive,True,0.37,0.58,0.58,0.3158
factor-inline-direct-0-0,factorial,184,answer,drive,walk,False,0.82,0.09,0.91,1.6562000000000001
length-0-neutral-start-direct,length,185,answer,drive,walk,False,0.92,0.04,0.96,1.8432
batch-transport,batching,186,transport,drive,walk,False,0.76,0.12,0.88,1.5488
batch-A,batching,187,A,yes,yes,True,0.95,0.97,0.97,0.0018000000000000017
batch-B,batching,188,B,no,no,True,1.0,1.0,1.0,0.0
transfer-job-direct,transfer,189,answer,walk,walk,True,1.0,1.0,1.0,0.0
length-4096-walking-middle-checks,length,190,bring,yes,yes,True,0.84,0.89,0.89,0.0222
length-4096-walking-middle-checks,length,190,walk,no,no,True,0.64,0.76,0.76,0.1064
longtransfer-inspection-512-end-checks,long_transfer,191,bring,yes,yes,True,0.99,1.0,1.0,0.0
longtransfer-inspection-512-end-checks,long_transfer,191,walk,no,no,True,0.54,0.69,0.69,0.18060000000000004
transfer-refund-direct,transfer,192,answer,walk,walk,True,1.0,1.0,1.0,0.0
count-rrabr-spaced,counting,193,answer,3,4,False,0.64,0.12,0.68,1.2694
longtransfer-pickup-4096-end-direct,long_transfer,194,answer,walk,walk,True,0.95,0.98,0.98,0.0008000000000000008
length-8192-walking-end-direct,length,195,answer,drive,walk,False,0.96,0.02,0.98,1.9207999999999998
length-4096-neutral-end-checks,length,196,bring,yes,yes,True,0.91,0.94,0.94,0.005600000000000007
length-4096-neutral-end-checks,length,196,walk,no,no,True,0.33,0.55,0.55,0.365
longtransfer-pickup-512-start-direct,long_transfer,197,answer,walk,walk,True,0.91,0.96,0.96,0.003200000000000003
factor-state-goal-1-0,factorial,198,answer,drive,walk,False,0.74,0.15,0.83,1.4118
count-straberry-algorithm,counting,199,answer,3,3,True,0.43,0.49,0.49,0.40959999999999996
count-rrr-plain,counting,200,answer,3,3,True,1.0,1.0,1.0,0.0
transfer-wash-goal,transfer,201,answer,drive,walk,False,0.54,0.23,0.77,1.1858
count-river-plain,counting,202,answer,2,2,True,0.7,0.73,0.73,0.1406
length-1024-neutral-middle-direct,length,203,answer,drive,walk,False,0.99,0.01,0.99,1.9602
length-8192-walking-middle-checks,length,204,bring,yes,yes,True,0.86,0.9,0.9,0.018199999999999994
length-8192-walking-middle-checks,length,204,walk,no,no,True,0.75,0.83,0.83,0.04940000000000001
factor-state-goal-0-0,factorial,205,answer,drive,walk,False,0.48,0.26,0.74,1.0952
count-rrabr-spaced,counting,206,answer,3,4,False,0.65,0.12,0.68,1.2694
length-256-walking-end-checks,length,207,bring,yes,yes,True,0.91,0.94,0.94,0.006200000000000007
length-256-walking-end-checks,length,207,walk,no,no,True,0.62,0.74,0.74,0.11760000000000001
factor-state-direct-0-1,factorial,208,answer,drive,walk,False,0.9,0.05,0.95,1.805
count-r-spaced,counting,209,answer,1,1,True,0.99,0.99,0.99,0.0002000000000000002
options-described,options,210,answer,drive,drive,True,0.35,0.67,0.67,0.2178
factor-state-direct-1-0,factorial,211,answer,drive,walk,False,0.78,0.1,0.85,1.535
count-rrabr-algorithm,counting,212,answer,3,3,True,0.61,0.66,0.66,0.18719999999999998
count-strawberry-spaced,counting,213,answer,3,3,True,0.38,0.45,0.45,0.45
factor-state-goal-1-0,factorial,214,answer,drive,walk,False,0.65,0.2,0.77,1.2338
count-rrrrrr-algorithm,counting,215,answer,6,6,True,0.68,0.72,0.72,0.11780000000000002
count-qrzrpr-spaced,counting,216,answer,3,4,False,0.41,0.05,0.47,1.3099999999999998
transfer-pickup-direct,transfer,217,answer,walk,walk,True,0.97,0.98,0.98,0.0008000000000000008
factor-inline-direct-1-1,factorial,218,answer,drive,walk,False,0.86,0.02,0.91,1.7933999999999999
length-1024-neutral-start-direct,length,219,answer,drive,walk,False,0.93,0.04,0.96,1.8432
factor-inline-goal-1-0,factorial,220,answer,drive,walk,False,0.21,0.47,0.47,0.5054000000000001
factor-state-direct-0-1,factorial,221,answer,drive,walk,False,0.89,0.05,0.95,1.805
length-1024-walking-end-direct,length,222,answer,drive,walk,False,0.86,0.07,0.93,1.7298
factor-inline-goal-1-1,factorial,223,answer,drive,drive,True,0.25,0.5,0.5,0.4142
count-rrr-algorithm,counting,224,answer,3,3,True,1.0,1.0,1.0,0.0
count-raspberry-algorithm,counting,225,answer,3,2,False,0.63,0.23,0.67,1.05
count-straberry-algorithm,counting,226,answer,3,3,True,0.42,0.47,0.47,0.4514000000000001
factor-state-goal-1-1,factorial,227,answer,drive,walk,False,0.41,0.33,0.61,0.8245999999999999
transfer-job-checks,transfer,228,bring,no,no,True,1.0,1.0,1.0,0.0
transfer-job-checks,transfer,228,walk,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
batch-A,batching,229,A,yes,yes,True,0.97,0.98,0.98,0.0008000000000000008
factor-inline-direct-1-1,factorial,230,answer,drive,walk,False,0.85,0.03,0.89,1.7394
factor-inline-goal-0-1,factorial,231,answer,drive,drive,True,0.0,0.5,0.5,0.5
count-strawberries-spaced,counting,232,answer,3,4,False,0.26,0.13,0.33,0.9394
count-cherry-algorithm,counting,233,answer,2,2,True,0.79,0.81,0.81,0.054199999999999984
count-rrrrrr-plain,counting,234,answer,6,6,True,0.65,0.69,0.69,0.16000000000000003
length-0-neutral-start-direct,length,235,answer,drive,walk,False,0.91,0.05,0.95,1.805
longtransfer-pickup-4096-end-direct,long_transfer,236,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
length-4096-neutral-middle-checks,length,237,bring,yes,yes,True,0.98,0.99,0.99,0.0002000000000000002
length-4096-neutral-middle-checks,length,237,walk,no,yes,False,0.22,0.48,0.48,0.5024000000000001
transfer-weigh-direct,transfer,238,answer,drive,walk,False,0.53,0.23,0.77,1.1858
count-river-algorithm,counting,239,answer,2,2,True,0.67,0.7,0.7,0.17420000000000002
longtransfer-inspection-512-start-checks,long_transfer,240,bring,yes,yes,True,0.99,1.0,1.0,0.0
longtransfer-inspection-512-start-checks,long_transfer,240,walk,no,no,True,0.94,0.96,0.96,0.002600000000000003
count-cherry-plain,counting,241,answer,2,2,True,0.81,0.83,0.83,0.043400000000000015
batch-B,batching,242,B,no,no,True,0.99,1.0,1.0,0.0
factor-inline-direct-1-0,factorial,243,answer,drive,walk,False,0.8,0.08,0.87,1.6058000000000001
transfer-refund-goal,transfer,244,answer,walk,walk,True,1.0,1.0,1.0,0.0
