scenario,reverse,source_trial,final_trial,check_correct,final_correct,joint_correct,check_input_tokens,check_output_tokens,final_input_tokens,final_output_tokens,workflow_input_tokens,workflow_output_tokens
3-collection,True,1141,86,True,True,True,398,42,401,33,799,75
7-inspection,True,1037,87,True,True,True,399,42,402,32,801,74
0-collection,True,588,88,True,True,True,398,42,401,33,799,75
9-service,False,298,89,True,True,True,400,42,403,32,803,74
1-service,False,402,90,True,True,True,399,42,402,32,801,74
0-collection,False,455,91,True,True,True,398,42,401,33,799,75
1-collection,True,275,92,True,True,True,398,42,401,33,799,75
1-inspection,False,795,93,True,True,True,399,42,402,32,801,74
9-collection,True,481,94,True,True,True,399,42,402,33,801,75
7-collection,False,1559,95,True,True,True,398,42,401,33,799,75
2-inspection,True,389,96,True,True,True,399,42,402,32,801,74
4-collection,False,251,97,True,True,True,400,42,403,33,803,75
5-collection,True,1267,98,True,True,True,398,42,401,33,799,75
4-service,False,1490,99,True,True,True,401,42,404,32,805,74
6-collection,True,573,100,True,True,True,400,42,403,33,803,75
1-appointment,False,270,101,True,True,True,413,42,416,33,829,75
11-service,False,123,102,True,True,True,401,42,404,32,805,74
5-collection,False,1295,103,True,True,True,398,42,401,33,799,75
4-appointment,False,1335,104,True,True,True,415,42,418,33,833,75
6-appointment,False,464,105,True,True,True,415,42,418,33,833,75
0-inspection,False,654,106,True,True,True,399,42,402,32,801,74
9-inspection,False,1424,107,True,True,True,399,42,402,32,801,74
11-collection,False,886,108,True,True,True,400,42,403,33,803,75
7-service,True,619,109,True,True,True,399,42,402,32,801,74
9-appointment,True,802,110,True,True,True,414,42,417,33,831,75
3-inspection,False,640,111,True,True,True,399,42,402,32,801,74
7-collection,False,268,112,True,True,True,398,42,401,33,799,75
3-collection,True,439,113,True,True,True,398,42,401,33,799,75
11-service,True,681,114,True,True,True,401,42,404,32,805,74
3-appointment,True,472,115,True,True,True,413,42,416,33,829,75
1-inspection,False,491,116,True,True,True,399,42,402,32,801,74
0-collection,False,1600,117,True,True,True,398,42,401,33,799,75
6-collection,True,951,118,True,True,True,400,42,403,33,803,75
3-collection,False,1599,119,True,True,True,398,42,401,33,799,75
3-service,False,1050,120,True,True,True,399,42,402,32,801,74
3-collection,False,283,121,True,True,True,398,42,401,33,799,75
3-collection,False,793,122,True,True,True,398,42,401,33,799,75
2-service,False,1316,123,True,True,True,399,42,402,32,801,74
4-appointment,True,565,124,True,True,True,415,42,418,33,833,75
4-collection,False,145,125,True,True,True,400,42,403,33,803,75
7-inspection,True,581,126,True,True,True,399,42,402,32,801,74
4-inspection,True,1096,127,True,True,True,401,42,404,32,805,74
9-appointment,True,1409,128,True,True,True,414,42,417,33,831,75
5-inspection,False,817,129,True,True,True,399,42,402,32,801,74
1-service,False,1420,130,True,True,True,399,42,402,32,801,74
2-service,True,1466,131,True,True,True,399,42,402,32,801,74
1-appointment,True,26,132,True,True,True,413,42,416,33,829,75
0-inspection,False,317,133,True,True,True,399,42,402,32,801,74
10-inspection,False,1249,134,True,True,True,399,42,402,32,801,74
8-collection,False,1503,135,True,True,True,398,42,401,33,799,75
11-inspection,False,613,136,True,True,True,401,42,404,32,805,74
3-collection,True,407,137,True,True,True,398,42,401,33,799,75
11-collection,False,399,138,True,True,True,400,42,403,33,803,75
5-service,True,1516,139,True,True,True,399,42,402,32,801,74
7-appointment,False,760,140,True,True,True,413,42,416,33,829,75
10-service,False,630,141,True,True,True,399,42,402,32,801,74
4-appointment,True,1090,142,True,True,True,415,42,418,33,833,75
1-collection,True,279,143,True,True,True,398,42,401,33,799,75
3-appointment,False,302,144,True,True,True,413,42,416,33,829,75
9-inspection,False,1214,145,True,True,True,399,42,402,32,801,74
8-appointment,True,728,146,True,True,True,413,42,416,33,829,75
10-service,True,1412,147,True,True,True,399,42,402,32,801,74
11-appointment,True,773,148,True,True,True,415,42,418,33,833,75
2-service,True,182,149,True,True,True,399,42,402,32,801,74
2-collection,False,810,150,True,True,True,398,42,401,33,799,75
9-collection,True,169,151,True,True,True,399,42,402,33,801,75
0-collection,True,1033,152,True,True,True,398,42,401,33,799,75
11-collection,True,633,153,True,True,True,400,42,403,33,803,75
3-appointment,True,777,154,True,True,True,413,42,416,33,829,75
1-appointment,True,1323,155,True,True,True,413,42,416,33,829,75
11-inspection,True,664,156,True,True,True,401,42,404,32,805,74
1-appointment,False,1425,157,True,True,True,413,42,416,33,829,75
0-appointment,False,1331,158,True,True,True,413,42,416,33,829,75
6-inspection,False,70,159,True,True,True,401,42,404,32,805,74
11-service,False,338,160,True,True,True,401,42,404,32,805,74
7-collection,False,106,161,True,True,True,398,42,401,33,799,75
3-appointment,False,1300,162,True,True,True,413,42,416,33,829,75
2-appointment,True,1501,163,True,True,True,413,42,416,33,829,75
4-collection,False,843,164,True,True,True,400,42,403,33,803,75
5-collection,True,731,165,True,True,True,398,42,401,33,799,75
10-appointment,False,381,166,True,True,True,413,42,416,33,829,75
5-inspection,False,737,167,True,True,True,399,42,402,32,801,74
3-appointment,True,195,168,True,True,True,413,42,416,33,829,75
4-appointment,True,1304,169,True,True,True,415,42,418,33,833,75
4-appointment,False,549,170,True,True,True,415,42,418,33,833,75
0-inspection,True,1464,171,True,True,True,399,42,402,32,801,74
9-collection,False,610,172,True,True,True,399,42,402,33,801,75
11-collection,True,171,173,True,True,True,400,42,403,33,803,75
11-service,False,273,174,True,True,True,401,42,404,32,805,74
10-inspection,True,117,175,True,True,True,399,42,402,32,801,74
8-inspection,True,823,176,True,True,True,399,42,402,32,801,74
8-inspection,False,1110,177,True,True,True,399,42,402,32,801,74
1-service,True,724,178,True,True,True,399,42,402,32,801,74
5-collection,True,749,179,True,True,True,398,42,401,33,799,75
9-inspection,True,1296,180,True,True,True,399,42,402,32,801,74
8-service,True,1235,181,True,True,True,399,42,402,32,801,74
5-collection,False,364,182,True,True,True,398,42,401,33,799,75
5-appointment,True,431,183,True,True,True,413,42,416,33,829,75
10-collection,False,1468,184,True,True,True,398,42,401,33,799,75
8-appointment,False,1498,185,True,True,True,413,42,416,33,829,75
4-inspection,False,479,186,True,True,True,401,42,404,32,805,74
9-appointment,False,1601,187,True,True,True,414,42,417,33,831,75
2-inspection,True,828,188,True,True,True,399,42,402,32,801,74
3-service,False,772,189,True,True,True,399,42,402,32,801,74
0-appointment,True,1570,190,True,True,True,413,42,416,33,829,75
7-inspection,False,1059,191,True,True,True,399,42,402,32,801,74
8-service,True,1379,192,True,True,True,399,42,402,32,801,74
10-appointment,False,289,193,True,True,True,413,42,416,33,829,75
7-appointment,True,1153,194,True,True,True,413,42,416,33,829,75
0-inspection,True,24,195,True,True,True,399,42,402,32,801,74
1-collection,False,223,196,True,True,True,398,42,401,33,799,75
9-inspection,True,342,197,True,True,True,399,42,402,32,801,74
11-service,True,1217,198,True,True,True,401,42,404,32,805,74
2-appointment,False,341,199,True,True,True,413,42,416,33,829,75
11-inspection,False,779,200,True,True,True,401,42,404,32,805,74
4-service,False,532,201,True,True,True,401,42,404,32,805,74
4-collection,True,688,202,True,True,True,400,42,403,33,803,75
1-service,True,1194,203,True,True,True,399,42,402,32,801,74
7-appointment,False,477,204,True,True,True,413,42,416,33,829,75
3-appointment,False,189,205,True,True,True,413,42,416,33,829,75
9-collection,False,1457,206,True,True,True,399,42,402,33,801,75
10-collection,True,1273,207,True,True,True,398,42,401,33,799,75
2-service,False,533,208,True,True,True,399,42,402,32,801,74
9-service,True,231,209,True,True,True,400,42,403,32,803,74
10-appointment,True,300,210,True,True,True,413,42,416,33,829,75
4-service,True,721,211,True,True,True,401,42,404,32,805,74
5-appointment,False,1133,212,True,True,True,413,42,416,33,829,75
5-inspection,False,1591,213,True,True,True,399,42,402,32,801,74
1-service,True,615,214,True,True,True,399,42,402,32,801,74
9-service,False,194,215,True,True,True,400,42,403,32,803,74
4-inspection,True,6,216,True,True,True,401,42,404,32,805,74
2-appointment,True,12,217,True,True,True,413,42,416,33,829,75
7-collection,True,1396,218,True,True,True,398,42,401,33,799,75
5-service,True,425,219,True,True,True,399,42,402,32,801,74
11-appointment,True,263,220,True,True,True,415,42,418,33,833,75
7-service,True,34,221,True,True,True,399,42,402,32,801,74
8-service,False,204,222,True,True,True,399,42,402,32,801,74
8-collection,True,562,223,True,True,True,398,42,401,33,799,75
6-inspection,True,264,224,True,True,True,401,42,404,32,805,74
9-service,False,915,225,True,True,True,400,42,403,32,803,74
10-collection,True,382,226,True,True,True,398,42,401,33,799,75
6-appointment,True,624,227,True,True,True,415,42,418,33,833,75
6-inspection,False,803,228,True,True,True,401,42,404,32,805,74
9-appointment,True,1392,229,True,True,True,414,42,417,33,831,75
5-appointment,True,819,230,True,True,True,413,42,416,33,829,75
10-inspection,False,638,231,True,True,True,399,42,402,32,801,74
10-inspection,False,1173,232,True,True,True,399,42,402,32,801,74
7-service,False,190,233,True,True,True,399,42,402,32,801,74
5-service,False,1052,234,True,True,True,399,42,402,32,801,74
4-collection,True,597,235,True,True,True,400,42,403,33,803,75
0-appointment,False,43,236,True,True,True,413,42,416,33,829,75
5-service,False,1558,237,True,True,True,399,42,402,32,801,74
9-inspection,True,1386,238,True,True,True,399,42,402,32,801,74
9-inspection,False,1482,239,True,True,True,399,42,402,32,801,74
2-collection,True,1253,240,True,True,True,398,42,401,33,799,75
0-service,True,267,241,True,True,True,399,42,402,32,801,74
10-collection,True,61,242,True,True,True,398,42,401,33,799,75
6-appointment,False,1603,243,True,True,True,415,42,418,33,833,75
6-collection,False,992,244,True,True,True,400,42,403,33,803,75
2-service,True,1512,245,True,True,True,399,42,402,32,801,74
1-collection,True,436,246,True,True,True,398,42,401,33,799,75
3-service,True,693,247,True,True,True,399,42,402,32,801,74
6-service,True,1550,248,True,True,True,401,42,404,32,805,74
8-inspection,True,918,249,True,True,True,399,42,402,32,801,74
8-collection,True,96,250,True,True,True,398,42,401,33,799,75
10-service,False,1009,251,True,True,True,399,42,402,32,801,74
10-appointment,False,244,252,True,True,True,413,42,416,33,829,75
0-collection,True,1058,253,True,True,True,398,42,401,33,799,75
7-service,True,815,254,True,True,True,399,42,402,32,801,74
8-collection,True,253,255,True,True,True,398,42,401,33,799,75
2-collection,True,557,256,True,True,True,398,42,401,33,799,75
2-appointment,False,1445,257,True,True,True,413,42,416,33,829,75
8-collection,False,1510,258,True,True,True,398,42,401,33,799,75
6-inspection,True,1575,259,True,True,True,401,42,404,32,805,74
0-appointment,True,719,260,True,True,True,413,42,416,33,829,75
5-inspection,True,178,261,True,True,True,399,42,402,32,801,74
5-collection,False,1282,262,True,True,True,398,42,401,33,799,75
2-appointment,False,107,263,True,True,True,413,42,416,33,829,75
5-inspection,True,328,264,True,True,True,399,42,402,32,801,74
1-collection,False,1472,265,True,True,True,398,42,401,33,799,75
11-collection,True,1361,266,True,True,True,400,42,403,33,803,75
8-inspection,False,1555,267,True,True,True,399,42,402,32,801,74
3-inspection,True,1255,268,True,True,True,399,42,402,32,801,74
0-service,True,1541,269,True,True,True,399,42,402,32,801,74
2-inspection,False,1465,270,True,True,True,399,42,402,32,801,74
7-service,False,95,271,True,True,True,399,42,402,32,801,74
0-appointment,True,547,272,True,True,True,413,42,416,33,829,75
3-service,True,1175,273,True,True,True,399,42,402,32,801,74
7-appointment,True,216,274,True,True,True,413,42,416,33,829,75
2-appointment,True,756,275,True,True,True,413,42,416,33,829,75
10-inspection,True,1035,276,True,True,True,399,42,402,32,801,74
8-appointment,False,217,277,True,True,True,413,42,416,33,829,75
6-collection,False,891,278,True,True,True,400,42,403,33,803,75
7-appointment,False,901,279,True,True,True,413,42,416,33,829,75
4-service,True,518,280,True,True,True,401,42,404,32,805,74
10-collection,False,1003,281,True,True,True,398,42,401,33,799,75
10-inspection,True,1086,282,True,True,True,399,42,402,32,801,74
0-inspection,False,412,283,True,True,True,399,42,402,32,801,74
3-inspection,False,129,284,True,True,True,399,42,402,32,801,74
10-collection,False,225,285,True,True,True,398,42,401,33,799,75
3-inspection,True,525,286,True,True,True,399,42,402,32,801,74
7-inspection,False,114,287,True,True,True,399,42,402,32,801,74
8-service,False,636,288,True,True,True,399,42,402,32,801,74
